PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
1517900,VICTORIA FUNK,Experienced Family Child Care Home,3135 E Yarrow CIR,Superior,CO,80027,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.147589,39.923715,10/31/2017 0:00,10/31/2020 0:00,Level 4,9, , , , , ,   , , , ,20180630
1518272,GLORIA RODRIGUEZ,Experienced Family Child Care Home,850 San Antonio PL,Colorado Springs,CO,80906,El Paso,Colorado Springs,Harrison School District 2,Alliance for Kids,Alliance for Kids,-104.812554,38.778254,10/31/2016 0:00,10/31/2019 0:00,Level 3,8, , , , , ,   , , , ,20180630
1518326,EASTER SEALS COLORADO,School-Age Child Care Center,8780 Venneford Ranch RD,Highlands Ranch,CO,80126,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.947831,39.555727, , , ,25, , , , , ,   , , , ,20180630
1518343,JUDY GARCIA,Experienced Family Child Care Home,907 N Neilson,Pueblo,CO,81001,Pueblo,Pueblo,Pueblo City School District 60,Pueblo Early Childhood Council,Childrens First,-104.559085,38.276666, , ,Level 1,9,9,4,10/31/2019 0:00,10,1,2421,10/31/2019 0:00,10,1,20180630
1518358,EMILY CASH,Family Child Care Home,4465  Meadowland BLVD,Colorado Springs,CO,80918,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.756932,38.901051, , ,Level 1,6, , , , , ,   , , , ,20180630
1518485,OLATHE EARLY CHILDHOOD CENTER,Child Care Center,320 N 3rd,Olathe,CO,81425,Montrose,Olathe,Montrose County School District RE-1J,Bright Futures,Bright Futures,-107.983285,38.61071,1/1/2015 0:00,12/31/2020 0:00,Level 4,48, , , , , ,   , , , ,20180630
1518511,POLTON PRESCHOOL,Preschool Program,2985 S Oakland ST,Aurora,CO,80014,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.851537,39.663826,3/31/2017 0:00,3/31/2020 0:00,Level 5,108, , , , , ,   , , , ,20180630
1518520,HIGHLAND ELEMENTARY SCHOOL,Child Care Center,711 E Euclid AVE,Littleton,CO,80121,Arapahoe,Southwest Arapahoe,Littleton School District 6,Arapahoe County Early Childhood Council,Child Care Innovations,-104.979904,39.597882,3/31/2018 0:00,3/31/2021 0:00,Level 5,49,1,1,8/31/2020 0:00,1,1,285,8/31/2020 0:00,1,1,20180630
1518599,FIRST PRESCHOOL & PRE-K,Child Care Center,228 W Evans,Pueblo,CO,81004,Pueblo,Pueblo,Pueblo City School District 60,Pueblo Early Childhood Council,Childrens First,-104.624924,38.260141,11/30/2016 0:00,11/30/2019 0:00,Level 3,49,2,2,12/31/2020 0:00,2,1,609,12/31/2020 0:00,2,1,20180630
1518618,GILPIN COUNTY YOUTH CAMPS,School-Age Child Care Center,250 Norton DR,Black Hawk,CO,80422,Gilpin,Central City,Gilpin County School District RE-1,Triad Early Childhood Council,Child Care Innovations,-105.478307,39.836366, , , ,30,1,1,12/16/2018 0:00,1,1,10,12/16/2018 0:00,5,1,20180630
1518641,KAEDRA JACOBER,Experienced Family Child Care Home,2330 Delwood AVE,Durango,CO,81301,La Plata,Durango,Durango School District 9-R,Early Childhood Council of La Plata County,ECC La Plata Co,-107.881905,37.290295, , ,Level 1,9, , , , , ,   , , , ,20180630
1518805,ASHLEY ELEMENTARY,School-Age Child Care Center,1914 Syracuse ST,Denver,CO,80220,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.898138,39.746472, , , ,100, , , , , ,   , , , ,20180630
1518808,COLUMBINE ELEMENTARY,School-Age Child Care Center,2540 E 29th ST,Denver,CO,80205,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.956368,39.757608, , , ,100, , , , , ,   , , , ,20180630
1518810,FRONTIER VALLEY SCHOOL-AGE CHILD CARE,School-Age Child Care Center,23919 E Canterberry TRL,Parker,CO,80138,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.714517,39.502139, , , ,80, , , , , ,   , , , ,20180630
1518819,ROXBOROUGH ELEMENTARY CHILD CARE PROGRAM,School-Age Child Care Center,8000 Village CIR W,Littleton,CO,80125,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-105.076495,39.47737, , , ,75, , ,6/30/2018 0:00,0,1,   ,6/30/2018 0:00,0,1,20180630
1518955,FLAGSTONE ELEMENTARY SCHOOL-AGE CHILD CARE,School-Age Child Care Center,104 Lovington ST,Castle Rock,CO,80104,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.790055,39.368854, , , ,50, , , , , ,   , , , ,20180630
1518957,TIMBER TRAIL ELEMENTARY CHILD CARE PROGRAM,School-Age Child Care Center,690 W Castle Pines PKWY,Castle Rock,CO,80108,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.898685,39.473217, , , ,83, , ,2/28/2021 0:00,1,1,   ,2/28/2021 0:00,1,1,20180630
1518979,VERONICA BOND-FRENCH,Family Child Care Home,1135 Marsh Hawk DR,Colorado Springs,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.724106,38.753404, , ,Level 1,6, , , , , ,   , , , ,20180630
1519035,STEPHANIE CLARKE,Family Child Care Home,17803 E Tennessee AVE,Aurora,CO,80017,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.779826,39.698042, , ,Level 1,6,1,1,7/31/2019 0:00,1,1,135,7/31/2019 0:00,1,1,20180630
1519079,CITY OF BOULDER PARKS AND RECS EAST,School-Age Child Care Center,5660 Sioux DR,Boulder,CO,80303,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.219999,39.99201, , , ,100,1,1,5/31/2019 0:00,6,1,82,5/31/2019 0:00,12,1,20180630
1519126,HOPE MONTESSORI ACADEMY,Child Care Center,2041 Chuckwagon RD,Colorado Springs,CO,80919,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.865101,38.915082, , ,Level 1,177,5,4,12/31/2018 0:00,6,1,1011,12/31/2018 0:00,7,1,20180630
1519128,HOPE MONTESSORI ACADEMY,Child Care Center,6353 Stetson Hills BLVD,Colorado Springs,CO,80923,El Paso,Elsmere,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.709429,38.9097,7/31/2015 0:00,7/31/2018 0:00,Level 2,177,6,3,12/31/2018 0:00,8,1,914,12/31/2018 0:00,10,1,20180630
1519174,PENNY CARE,School-Age Child Care Center,3707 Estrella ST,Brighton,CO,80601,Adams,Brighton,Brighton School District 27J,Early Childhood Partnership of Adams County,Child Care Innovations,-104.776668,39.982839, , , ,50, , , , , ,   , , , ,20180630
