PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
48,VIKKI MCKEOGH,Experienced Family Child Care Home,6635 E Monaco DR,Brighton,CO,80602,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.911005,39.919258, , ,Level 1,9, , , , , ,   , , , ,20180630
65,JACKIE GRAY,Family Child Care Home,11860 E Elm DR,Thornton,CO,80233,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.928396,39.911489,9/7/2017 0:00,9/7/2020 0:00,Level 2,6,1,1,2/28/2019 0:00,2,1,90,2/28/2019 0:00,2,1,20180630
100,CHEROKEE TRAIL ELEMENTARY KIDS CENTER,School-Age Child Care Center,17302 Clarke Farms DR,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.786646,39.525183, , , ,100, , ,7/31/2018 0:00,0,1,   ,7/31/2018 0:00,2,1,20180630
115,EARLY CHILDHOOD EDUCATION,Preschool Program,1023 N 31st ST,Colorado Springs,CO,80904,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.867475,38.86547, , ,Level 1,16, , , , , ,   , , , ,20180630
157,CHERLLYNN SAUNDERS,Infant/Toddler Home,5989 W Fair DR,Littleton,CO,80123,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.063248,39.604151, , ,Level 1,4, , , , , ,   , , , ,20180630
180,MICHELLE MAYROSE,Family Child Care Home,19895 E Belleview,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.756067,39.623672, , ,Level 1,6, , , , , ,   , , , ,20180630
327,JACKI PACINO,Family Child Care Home,20331 Hwy 266,Rocky Ford,CO,81067,Otero,Rocky Ford,Rocky Ford School District R-2,"Early Childhood Council of Bent, Otero and Crowley Counties",Childrens First,-103.704952,38.055041, , ,Level 1,6,1,1,6/30/2018 0:00,1,1,208,6/30/2018 0:00,1,1,20180630
412,KATHLEEN LAATT,Large Family Child Care Home,88 Baylor DR,Longmont,CO,80503,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.149609,40.184872, , ,Level 1,12, , , , , ,   , , , ,20180630
562,SUSAN CALLAGHAN,Large Family Child Care Home,1401 3rd AVE,Longmont,CO,80501,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.117412,40.166584,2/28/2018 0:00,2/28/2021 0:00,Level 5,12,1,1,5/14/2018 0:00,1,1,332,3/31/2021 0:00,1,1,20180630
974,SHANNON DEVANNEY,Family Child Care Home,1671 S Salida WAY,Aurora,CO,80017,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.78274,39.687472, , ,Level 1,6, , , , , ,   , , , ,20180630
993,PAMELA DI RUBBO,Experienced Family Child Care Home,252 Aspen LN,Pine,CO,80470,Park,Fairplay,Platte Canyon School District 1,Teller/Park Early Childhood Council,Child Care Innovations,-105.413291,39.490309, , ,Level 1,9, , , , , ,   , , , ,20180630
1178,RITA THOMPSON,Large Family Child Care Home,3125 Clayton ST,Denver,CO,80205,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.955252,39.761221,11/29/2016 0:00,11/29/2019 0:00,Level 2,12,6,6,3/31/2019 0:00,7,1,2490,3/31/2019 0:00,10,1,20180630
1226,KARA MILLER,Family Child Care Home,6676 Snowy Range DR,Colorado Springs,CO,80923,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.736936,38.92749, , ,Level 1,6, , , , , ,   , , , ,20180630
1285,CATHY GILSDORF,Three under Two Family Child Care Home,713 Parkview DR,Fort Collins,CO,80525,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.064904,40.54544, , ,Level 1,6, , , , , ,   , , , ,20180630
1306,DARLENE KATZER,Three under Two Family Child Care Home,826 W 36th ST,Loveland,CO,80538,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.089606,40.428223, , ,Level 1,6,4,2,12/31/2018 0:00,4,1,1285,12/31/2018 0:00,0,1,20180630
1473,DENISE BAUMGARTNER,Family Child Care Home,13280 Mercury DR,Littleton,CO,80124,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.889226,39.554402, , ,Level 1,6, , , , , ,   , , , ,20180630
1529,JENNIFER PIPER,Large Family Child Care Home,119 E 23rd ST,Loveland,CO,80538,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.075352,40.41602,2/28/2017 0:00,2/29/2020 0:00,Level 4,8,23,13,3/31/2020 0:00,26,1,11604,3/31/2020 0:00,28,1,20180630
1727,YOLANDA GONZALES,Family Child Care Home,2517 9th Ave CT,Greeley,CO,80631,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.693829,40.396594,2/26/2016 0:00,2/26/2019 0:00,Level 2,6,2,2,3/31/2020 0:00,2,1,1108,3/31/2020 0:00,4,1,20180630
1730,WANDA SPRAGUE,Experienced Family Child Care Home,12700 E Espera WAY,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.780493,39.485816,5/31/2018 0:00,5/31/2021 0:00,Level 2,8, , , , , ,   , , , ,20180630
1996,TRAILS WEST ADVENTURES,School-Age Child Care Center,5400 S Waco ST,Centennial,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.778859,39.619406, , , ,150,2,2,12/31/2019 0:00,2,1,153,12/31/2019 0:00,2,1,20180630
2082,JULIE PEREZ,Three under Two Family Child Care Home,4879 N Foxtail DR,Castle Rock,CO,80109,Douglas,Castle Rock,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.897292,39.410291, , ,Level 1,6, , , , , ,   , , , ,20180630
2096,SANDRA BYARLAY,Experienced Family Child Care Home,1104 Sandra DR,Johnstown,CO,80534,Weld,Johnstown-Milliken,Johnstown-Milliken School District RE-5J,Promises for Children,Promises for Children,-104.91894,40.331378, , ,Level 1,9, , , , , ,   , , , ,20180630
2164,BEVERLY BYLSMA,Family Child Care Home,13285 Rigel DR,Littleton,CO,80124,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.900097,39.554955, , ,Level 1,6, , , , , ,   , , , ,20180630
2185,GOLDEN COMMUNITY CENTER,School-Age Child Care Center,1470 10th ST,Golden,CO,80401,Jefferson,Golden,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.230019,39.755469, , , ,98, , ,10/31/2019 0:00,0,1,   ,10/31/2019 0:00,4,1,20180630
2186,MEEKER PRESCHOOL,Preschool Program,201 Ute RD,Meeker,CO,81641,Rio Blanco,Meeker,Meeker School District RE1,Connections 4 Kids,Summit Co CCR&R,-107.905387,40.045433, , ,Level 1,35, , , , , ,   , , , ,20180630
2450,SUNRISE ENTERPRISE,School-Age Child Care Center,4050 S Genoa WAY,Aurora,CO,80013,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.75753,39.644079, , , ,100,1,1,6/30/2020 0:00,1,1,234,6/30/2020 0:00,1,1,20180630
2561,LAURA ROUSH,Experienced Family Child Care Home,4300 Mill Creek CT,Fort Collins,CO,80526,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.102891,40.527613,1/15/2018 0:00,1/15/2021 0:00,Level 3,9, , ,12/31/2018 0:00,0,1,   ,12/31/2018 0:00,0,1,20180630
2624,CORRIE GUIDRY,Family Child Care Home,1709 Chestnut ST,Canon City,CO,81212,Fremont,Cañon City,Cañon City School District RE-1,ECHO and Family Center Early Childhood Council,Childrens First,-105.20881,38.415928, , ,Level 1,6, , , , , ,   , , , ,20180630
2712,MEADOW POINT BEFORE AND AFTER PROGRAM,School-Age Child Care Center,17901 E Grand AVE,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.779394,39.626658, , , ,90,9,6,11/30/2020 0:00,9,1,1981,11/30/2020 0:00,9,1,20180630
2799,INDIAN RIDGE ECS PROGRAMS,School-Age Child Care Center,16501 E Progress DR,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.797077,39.621346, , , ,150, , ,9/30/2019 0:00,1,1,   ,9/30/2019 0:00,1,1,20180630
2803,GRAND VALLEY CENTER FOR FAMILY LEARNING,Child Care Center,100 E 2nd ST,Parachute,CO,81635,Garfield,West Garfield,Garfield County School District 16,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-108.053613,39.45269,5/31/2017 0:00,5/31/2020 0:00,Level 2,90, , ,1/31/2019 0:00,0,1,   ,1/31/2019 0:00,0,1,20180630
2887,LAURA BALDWIN,Family Child Care Home,304 Elm ST,Lochbuie,CO,80603,Weld,Keenesburg-Hudson,Keenesburg School District RE-3J,Promises for Children,Promises for Children,-104.713657,40.004367, , ,Level 1,6, , ,3/31/2019 0:00,0,1,   ,3/31/2019 0:00,0,1,20180630
2909,LYNNETTE SKAY,Family Child Care Home,2475 Maroon Bells AVE,Colorado Springs,CO,80918,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.782089,38.917879, , ,Level 1,6, , , , , ,   , , , ,20180630
2991,KELLIE HIGGINS,Family Child Care Home,555 Birch CT,Rifle,CO,81650,Garfield,Rifle,Garfield School District RE-2,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-107.772421,39.534308,2/28/2017 0:00,2/28/2020 0:00,Level 2,6,2,1,5/31/2018 0:00,3,1,650,5/31/2020 0:00,5,1,20180630
3055,TAMMY BANDY,Experienced Family Child Care Home,613 N 4th AVE,Sterling,CO,80751,Logan,Sterling,Valley School District RE-1,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgwick",-103.217237,40.632031, , ,Level 1,9, , ,1/31/2019 0:00,0,1,   ,1/31/2019 0:00,0,1,20180630
3064,TAMMY SAUNDERS,Experienced Family Child Care Home,10012 Clay ST,Federal Heights,CO,80260,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-105.019682,39.879418,1/20/2016 0:00,1/20/2019 0:00,Level 2,9, , , , , ,   , , , ,20180630
3077,CYNTHIA BELT,Family Child Care Home,6383 S Jackson Gap CT,Aurora,CO,80016,Arapahoe,East Arapahoe,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.693796,39.600839, , ,Level 1,6, , , , , ,   , , , ,20180630
3078,CAMP SNOWMASS,School-Age Child Care Center,120 Carriage WAY,Snowmass Village,CO,81615,Pitkin,Snowmass Village,Aspen School District 1,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-106.949795,39.208722, , , ,210, , , , , ,   , , , ,20180630
3079,LISA VESS,Experienced Family Child Care Home,1204 Crest CT,Windsor,CO,80550,Weld,Windsor,Windsor School District RE-4,Promises for Children,Promises for Children,-104.905596,40.466228, , ,Level 1,9, , , , , ,   , , , ,20180630
3089,BRIGHTON FUNSHINE CAMP,School-Age Child Care Center,1605 Longs Peak ST,Brighton,CO,80601,Adams,Brighton,Brighton School District 27J,Early Childhood Partnership of Adams County,Child Care Innovations,-104.802203,39.993117, , , ,125, , , , , ,   , , , ,20180630
3098,MISSION VIEJO EXTENDED CHILD SERVICES,School-Age Child Care Center,3855 S Alicia PKWY,Aurora,CO,80013,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.805023,39.646737, , , ,150,12,8,11/30/2020 0:00,16,1,3105,11/30/2020 0:00,18,1,20180630
3188,JULIE CAREY,Experienced Family Child Care Home,650 W Jefferson,Hayden,CO,81639,Routt,Hayden,Hayden School District RE-1,First Impressions of Routt County,Summit Co CCR&R,-107.264436,40.494023,3/23/2016 0:00,3/23/2019 0:00,Level 2,9, , ,12/31/2019 0:00,0,1,   ,12/31/2019 0:00,0,1,20180630
3192,LESLEY GORMAN,Experienced Family Child Care Home,1021 Park West DR,Glenwood Springs,CO,81601,Garfield,Glenwood Springs,Roaring Fork School District RE-1,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-107.320113,39.514516, , ,Level 1,9, , , , , ,   , , , ,20180630
3194,LINDA JENKINS-ESPINOSA,Family Child Care Home,2760 Warrenton WAY,Colorado Springs,CO,80922,El Paso,Elsmere,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.703983,38.870868,3/13/2017 0:00,3/13/2020 0:00,Level 2,6, , ,12/31/2018 0:00,0,1,   ,12/31/2018 0:00,0,1,20180630
3281,MONTESSORI SCHOOL OF AURORA,Child Care Center,18585 E Smoky Hill,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.769863,39.618473, , ,Level 1,164, , , , , ,   , , , ,20180630
3291,LEE ANN WOOSLEY,Large Family Child Care Home,4925 Wainwright DR,Colorado Springs,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.732839,38.758963, , ,Level 1,12, , , , , ,   , , , ,20180630
3299,CATHERINE GINN,Family Child Care Home,7295 S Houstoun Waring CIR,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,Littleton School District 6,Arapahoe County Early Childhood Council,Child Care Innovations,-105.022019,39.585691,12/31/2017 0:00,12/31/2020 0:00,Level 4,6, , ,8/31/2020 0:00,0,1,   ,8/31/2020 0:00,0,1,20180630
3352,JEWEL WILLIAMS,Three under Two Family Child Care Home,1008 Cypress ST,Pueblo,CO,81004,Pueblo,Pueblo,Pueblo City School District 60,Pueblo Early Childhood Council,Childrens First,-104.621711,38.248972, , ,Level 1,6,5,3,3/31/2019 0:00,3,1,1121,3/31/2019 0:00,4,1,20180630
3491,CHARLOTTE BADGER,Family Child Care Home,11526 E Ellsworth PL,Aurora,CO,80010,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.855775,39.716356, , ,Level 1,6, , ,6/30/2019 0:00,0,1,   ,6/30/2019 0:00,0,1,20180630
3615,TAMMY PAULSON,Three under Two Family Child Care Home,1165 Glencoe,Denver,CO,80220,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.925832,39.734045, , ,Level 1,6, , , , , ,   , , , ,20180630
3803,THE COMPLETE CHILD DBA YOUNG SCHOLARS ACADEMY,Child Care Center,5815 Tutt Center PT,Colorado Springs,CO,80922,El Paso,Elsmere,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.71768,38.906505,10/2/2014 0:00,10/1/2019 0:00,Level 4,211,3,3,12/31/2018 0:00,4,1,2453,12/31/2018 0:00,3,1,20180630
3819,FRIENDS OF DINOSAUR RIDGE SUMMER CAMP,School-Age Child Care Center,16831 W Alameda PKWY,Morrison,CO,80465,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.190318,39.688723, , , ,24, , , , , ,   , , , ,20180630
3923,JENNIFER STROUP,Large Family Child Care Home,8590 W 84th CIR,Arvada,CO,80005,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.094473,39.851456, , ,Level 1,12, , , , , ,   , , , ,20180630
4117,LORETTA SAMPSON,Experienced Family Child Care Home,10387 W Bellewood PL,Littleton,CO,80127,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.114289,39.625092,6/19/2018 0:00,6/19/2021 0:00,Level 2,9, , , , , ,   , , , ,20180630
4225,HEATHER GODELL,Experienced Family Child Care Home,331 Sun Mountain DR,Loveland,CO,80538,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.073222,40.442548,2/27/2018 0:00,2/27/2021 0:00,Level 2,9,2,1,6/7/2018 0:00,2,1,1208,12/31/2018 0:00,0,1,20180630
4249,DPS DISCOVERY LINK  @ STECK,School-Age Child Care Center,450 Albion ST,Denver,CO,80220,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.938606,39.723755, , , ,100,1,1,9/30/2020 0:00,5,1,18,9/30/2020 0:00,2,1,20180630
4308,ROSE STEIN PRESCHOOL,Preschool Program,80 S Teller ST,Lakewood,CO,80226,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.075943,39.715442,3/20/2017 0:00,3/20/2020 0:00,Level 2,40, , , , , ,   , , , ,20180630
4310,ST JAMES PRESCHOOL,Preschool Program,3601 W Belleview AVE,Littleton,CO,80123,Arapahoe,Southwest Arapahoe,Littleton School District 6,Arapahoe County Early Childhood Council,Child Care Innovations,-105.035988,39.624904,1/31/2017 0:00,1/31/2020 0:00,Level 5,203, , ,8/31/2020 0:00,0,1,   ,8/31/2020 0:00,0,1,20180630
4321,POLARIS ELEMANTARY B.A.S.E. CAMP,School-Age Child Care Center,1905 Orchard PL,Fort Collins,CO,80521,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.111315,40.577572, , , ,150, , ,12/31/2019 0:00,0,1,   ,12/31/2019 0:00,0,1,20180630
4322,BAUDER ELEMENTARY BASE CAMP,School-Age Child Care Center,2345 Prospect,Fort Collins,CO,80526,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.121757,40.566867, , , ,150,33,22,12/31/2019 0:00,38,1,4320,12/31/2019 0:00,21,1,20180630
4323,SAINT LUKES LUTHERAN CHILDRENS CENTER,Child Care Center,5265 N Union BLVD,Colorado Springs,CO,80918,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.773809,38.907871, , ,Level 1,104,19,13,12/31/2018 0:00,22,1,5490,12/31/2018 0:00,25,1,20180630
4383,DPS DISCOVERY LINK @ KAISER,School-Age Child Care Center,4500 S Quitman ST,Denver,CO,80236,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.040535,39.634183, , , ,100, , , , , ,   , , , ,20180630
4384,LITTLE SPROUTS COMMUNITY PRESCHOOL,Preschool Program,210 NW 3rd ST,Cedaredge,CO,81413,Delta,Cedaredge,Delta County School District 50J,Bright Futures,Bright Futures,-107.926355,38.9021,11/30/2017 0:00,11/30/2020 0:00,Level 4,35, , ,6/30/2018 0:00,0,1,   ,6/30/2018 0:00,0,1,20180630
4392,GIVING TREE MONTESSORI SCHOOL,Child Care Center,1110 W Moreno AVE,Colorado Springs,CO,80905,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.846423,38.826223, , ,Level 1,40, , , , , ,   , , , ,20180630
4394,ROCKY MOUNTAIN CHILDRENS DISCOVERY,Child Care Center,710 S 8th ST,Canon city,CO,81212,Fremont,Cañon City,Cañon City School District RE-1,ECHO and Family Center Early Childhood Council,Childrens First,-105.234853,38.437211,4/3/2015 0:00,4/1/2020 0:00,Level 4,97,49,33,10/31/2018 0:00,50,1,14327,6/20/2019 0:00,59,1,20180630
4399,FAITH LUTHERAN PRESCHOOL,Child Care Center,303 Ridge RD,Castle Rock,CO,80104,Douglas,Castle Rock,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.821231,39.366381,12/31/2017 0:00,12/31/2020 0:00,Level 3,68, , , , , ,   , , , ,20180630
4400,CHERRY HILLS CHRISTIAN PRESCHOOL,Child Care Center,3900 E Grace BLVD,Highlands Ranch,CO,80126,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.946416,39.537157,7/1/2018 0:00,6/30/2021 0:00,Level 3,284, , , , , ,   , , , ,20180630
4402,PEABODY ELEM PEABODY PANTHER PRIDE,School-Age Child Care Center,3128 E Maplewood,Centennial,CO,80121,Arapahoe,Southwest Arapahoe,Littleton School District 6,Arapahoe County Early Childhood Council,Child Care Innovations,-104.951925,39.603066, , , ,75,2,1,8/31/2019 0:00,2,1,262,8/31/2019 0:00,2,1,20180630
4403,BETHANY EARLY CHILDHOOD CENTER,Child Care Center,4500 E Hampden AVE,Cherry HIlls Vil,CO,80113,Arapahoe,Southwest Arapahoe,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.933482,39.652346,8/17/2016 0:00,8/17/2019 0:00,Level 2,94,1,1,11/30/2019 0:00,2,1,240,5/31/2021 0:00,1,1,20180630
4404,RENAISSANCE MONTESSORI ACADEMY,Child Care Center,16740 Keystone BLVD,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.795424,39.537923, , ,Level 1,100, , , , , ,   , , , ,20180630
4422,JUDITH HALL,Large Family Child Care Home,205 W 51st,Loveland,CO,80538,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.079277,40.445565, , ,Level 1,12, , , , , ,   , , , ,20180630
4563,ROSEMARIE APPLEGATE,Family Child Care Home,12386 W Texas DR,Lakewood,CO,80228,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.134759,39.693347, , ,Level 1,6, , , , , ,   , , , ,20180630
4584,CHRISTY BLUMENSHINE,Experienced Family Child Care Home,3119 Appaloosa CT,Fort Collins,CO,80526,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.092574,40.545255, , ,Level 1,9, , , , , ,   , , , ,20180630
4629,CHRISTINE SHARP,Experienced Family Child Care Home,513 Charrington CT,Fort Collins,CO,80525,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.069219,40.502289, , ,Level 1,9, , , , , ,   , , , ,20180630
4630,KRISTEN VAN LANINGHAM,Experienced Family Child Care Home,7126 Woodrow DR,Fort Collins,CO,80525,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.083103,40.486635,4/30/2018 0:00,4/30/2021 0:00,Level 2,9, , , , , ,   , , , ,20180630
4652,BRENDA KEY,Experienced Family Child Care Home,3917 Ashcroft AVE,Castle Rock,CO,80104,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.822092,39.369819,2/15/2017 0:00,2/15/2020 0:00,Level 2,9, , ,6/30/2019 0:00,0,1,   ,6/30/2019 0:00,0,1,20180630
4779,LA VETA PUBLIC SCHOOL PRESCHOOL,Preschool Program,126 Garland,LeVeta,CO,81055,Huerfano,La Veta,La Veta School District RE-2,HuLA Early Childhood Council,Childrens First,-105.008477,37.504635,6/30/2016 0:00,6/30/2019 0:00,Level 2,20, , , , , ,   , , , ,20180630
4811,NANCY ARP,Family Child Care Home,346 Park ST,Lyons,CO,80540,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.269529,40.221787, , ,Level 1,6, , , , , ,   , , , ,20180630
4812,REBECCA ROUTH,Family Child Care Home,276 W 2nd,Akron,CO,80720,Washington,Akron,Akron School District R-1,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",-103.215284,40.160083,5/9/2017 0:00,5/9/2020 0:00,Level 2,6, , , , , ,   , , , ,20180630
4815,MARGARET BAKKA,Experienced Family Child Care Home,1133 Sawtooth Oak CT,Fort Collins,CO,80525,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.056504,40.515915,12/21/2015 0:00,12/21/2018 0:00,Level 2,9, , , , , ,   , , , ,20180630
4822,ARICKAREE PRESCHOOL,Child Care Center,12155 County Road NN,Anton,CO,80801,Washington,Cope,Arickaree School District R-2,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",-103.028729,39.745321,6/9/2016 0:00,6/9/2019 0:00,Level 2,15, , ,12/21/2020 0:00,0,1,   ,12/21/2020 0:00,0,1,20180630
4830,RASCALS TODDLER PROGRAM,Child Care Center,405 Society DR,Telluride,CO,81435,San Miguel,Telluride,Telluride School District R-1,Bright Futures,Bright Futures,-107.882079,37.946368,6/22/2016 0:00,6/22/2019 0:00,Level 2,15, , ,6/30/2018 0:00,1,1,   ,6/30/2019 0:00,1,1,20180630
4835,LITTLE VISIONS PRESCHOOL,Child Care Center,26845 County Road 92,Idalia,CO,80735,Yuma,Idalia-Joes,Idalia School District RJ-3,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",-102.293778,39.704388, , ,Level 1,15, , , , , ,   , , , ,20180630
4845,KOHL STREET KIDS PRESCHOOL AND BASE PROGRAM,Child Care Center,825 Kohl ST,Broomfield,CO,80020,Broomfield,Broomfield,Boulder Valley School District RE-2,Broomfield Early Childhood Council,Child Care Innovations,-105.082956,39.925907,2/3/2016 0:00,2/3/2019 0:00,Level 2,75, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,0,1,20180630
4846,TAKE A BREAK,Child Care Center,408 W Baseline RD,Lafayette,CO,80026,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.094598,40.000174,12/31/2017 0:00,12/31/2020 0:00,Level 3,153,27,17,2/29/2020 0:00,29,1,14126,2/29/2020 0:00,27,1,20180630
4850,ST LUKE'S LITTLE SCHOOL,Preschool Program,8817 S Broadway,Highlands Ranch,CO,80129,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.991199,39.555701,4/13/2017 0:00,4/13/2020 0:00,Level 2,150, , , , , ,   , , , ,20180630
4855,DRY CREEK EXTENDED DAY PROGRAM,School-Age Child Care Center,7686 E Hindsdale AVE,Englewood,CO,80112,Arapahoe,Southwest Arapahoe,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.899603,39.581721, , , ,573,3,2,6/30/2020 0:00,5,1,350,6/30/2020 0:00,5,1,20180630
4856,MISSION VIEJO (ECS),School-Age Child Care Center,6867 E Heritage PL S,Centennial,CO,80111,Arapahoe,Southwest Arapahoe,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.910615,39.597055, , , ,150, , ,8/31/2018 0:00,1,1,   ,5/31/2021 0:00,4,1,20180630
