CFIPS,YEAR,AGE,COUNTY,MALE,FEMALE,TOTAL,TYPE
69,2024,1,Larimer,2060,1974,4034,Forecast
69,2024,2,Larimer,2068,1985,4053,Forecast
69,2024,3,Larimer,2055,1974,4030,Forecast
69,2024,4,Larimer,2044,1966,4009,Forecast
71,2024,0,Las Animas,64,61,125,Forecast
71,2024,1,Las Animas,66,63,129,Forecast
71,2024,2,Las Animas,68,65,133,Forecast
71,2024,3,Las Animas,70,67,137,Forecast
71,2024,4,Las Animas,71,68,139,Forecast
73,2024,0,Lincoln,34,32,66,Forecast
73,2024,1,Lincoln,34,32,66,Forecast
73,2024,2,Lincoln,34,33,67,Forecast
73,2024,3,Lincoln,34,33,66,Forecast
73,2024,4,Lincoln,34,33,66,Forecast
75,2024,0,Logan,119,114,233,Forecast
75,2024,1,Logan,118,113,230,Forecast
75,2024,2,Logan,117,112,229,Forecast
75,2024,3,Logan,116,111,226,Forecast
75,2024,4,Logan,115,111,226,Forecast
77,2024,0,Mesa,863,824,1687,Forecast
77,2024,1,Mesa,841,804,1645,Forecast
77,2024,2,Mesa,826,790,1616,Forecast
77,2024,3,Mesa,809,774,1582,Forecast
77,2024,4,Mesa,798,764,1562,Forecast
79,2024,0,Mineral,4,4,8,Forecast
79,2024,1,Mineral,4,4,8,Forecast
79,2024,2,Mineral,4,4,8,Forecast
79,2024,3,Mineral,4,4,8,Forecast
79,2024,4,Mineral,4,4,8,Forecast
81,2024,0,Moffat,100,95,195,Forecast
81,2024,1,Moffat,99,94,193,Forecast
81,2024,2,Moffat,98,94,192,Forecast
81,2024,3,Moffat,97,93,190,Forecast
81,2024,4,Moffat,97,93,190,Forecast
83,2024,0,Montezuma,168,161,328,Forecast
83,2024,1,Montezuma,165,158,323,Forecast
83,2024,2,Montezuma,163,157,320,Forecast
83,2024,3,Montezuma,160,154,314,Forecast
83,2024,4,Montezuma,158,152,311,Forecast
85,2024,0,Montrose,252,241,492,Forecast
85,2024,1,Montrose,244,233,478,Forecast
85,2024,2,Montrose,238,228,466,Forecast
85,2024,3,Montrose,231,221,452,Forecast
85,2024,4,Montrose,226,216,442,Forecast
87,2024,0,Morgan,246,235,481,Forecast
87,2024,1,Morgan,241,230,471,Forecast
87,2024,2,Morgan,238,228,466,Forecast
87,2024,3,Morgan,233,223,456,Forecast
87,2024,4,Morgan,229,219,448,Forecast
89,2024,0,Otero,93,89,182,Forecast
89,2024,1,Otero,97,93,190,Forecast
89,2024,2,Otero,103,98,201,Forecast
89,2024,3,Otero,107,103,211,Forecast
89,2024,4,Otero,111,106,217,Forecast
91,2024,0,Ouray,24,23,47,Forecast
91,2024,1,Ouray,24,23,47,Forecast
91,2024,2,Ouray,24,23,48,Forecast
91,2024,3,Ouray,25,24,48,Forecast
91,2024,4,Ouray,25,24,48,Forecast
93,2024,0,Park,84,80,164,Forecast
93,2024,1,Park,85,82,167,Forecast
93,2024,2,Park,87,84,171,Forecast
93,2024,3,Park,89,86,175,Forecast
93,2024,4,Park,89,86,176,Forecast
95,2024,0,Phillips,32,31,63,Forecast
95,2024,1,Phillips,33,31,64,Forecast
95,2024,2,Phillips,34,32,66,Forecast
95,2024,3,Phillips,34,33,67,Forecast
95,2024,4,Phillips,34,33,67,Forecast
97,2024,0,Pitkin,87,83,171,Forecast
97,2024,1,Pitkin,83,79,162,Forecast
97,2024,2,Pitkin,78,75,153,Forecast
97,2024,3,Pitkin,74,70,144,Forecast
97,2024,4,Pitkin,70,67,137,Forecast
99,2024,0,Prowers,78,74,152,Forecast
99,2024,1,Prowers,80,77,157,Forecast
99,2024,2,Prowers,83,80,163,Forecast
99,2024,3,Prowers,86,82,169,Forecast
99,2024,4,Prowers,88,84,173,Forecast
101,2024,0,Pueblo,976,934,1909,Forecast
101,2024,1,Pueblo,962,920,1883,Forecast
101,2024,2,Pueblo,953,913,1866,Forecast
101,2024,3,Pueblo,940,900,1839,Forecast
101,2024,4,Pueblo,931,892,1823,Forecast
103,2024,0,Rio Blanco,40,38,78,Forecast
103,2024,1,Rio Blanco,40,38,78,Forecast
103,2024,2,Rio Blanco,40,38,78,Forecast
103,2024,3,Rio Blanco,39,38,77,Forecast
103,2024,4,Rio Blanco,40,38,78,Forecast
105,2024,0,Rio Grande,66,63,129,Forecast
105,2024,1,Rio Grande,67,64,131,Forecast
105,2024,2,Rio Grande,69,66,135,Forecast
105,2024,3,Rio Grande,70,67,137,Forecast
105,2024,4,Rio Grande,71,68,139,Forecast
107,2024,0,Routt,127,121,248,Forecast
107,2024,1,Routt,130,125,255,Forecast
107,2024,2,Routt,134,129,264,Forecast
107,2024,3,Routt,137,132,269,Forecast
107,2024,4,Routt,139,135,274,Forecast
109,2024,0,Saguache,38,36,74,Forecast
109,2024,1,Saguache,39,37,76,Forecast
109,2024,2,Saguache,40,38,79,Forecast
109,2024,3,Saguache,42,40,81,Forecast
109,2024,4,Saguache,42,40,82,Forecast
111,2024,0,San Juan,3,3,6,Forecast
111,2024,1,San Juan,3,3,6,Forecast
111,2024,2,San Juan,3,3,6,Forecast
111,2024,3,San Juan,3,3,6,Forecast
111,2024,4,San Juan,3,3,6,Forecast
113,2024,0,San Miguel,48,46,94,Forecast
113,2024,1,San Miguel,49,47,96,Forecast
113,2024,2,San Miguel,50,48,98,Forecast
113,2024,3,San Miguel,51,49,100,Forecast
113,2024,4,San Miguel,51,50,101,Forecast
115,2024,0,Sedgwick,13,12,25,Forecast
115,2024,1,Sedgwick,13,12,25,Forecast
115,2024,2,Sedgwick,13,13,26,Forecast
115,2024,3,Sedgwick,13,13,26,Forecast
115,2024,4,Sedgwick,13,13,26,Forecast
117,2024,0,Summit,155,149,304,Forecast
117,2024,1,Summit,148,142,290,Forecast
117,2024,2,Summit,141,135,276,Forecast
117,2024,3,Summit,134,128,263,Forecast
117,2024,4,Summit,129,123,253,Forecast
119,2024,0,Teller,108,103,211,Forecast
119,2024,1,Teller,111,106,217,Forecast
119,2024,2,Teller,111,107,218,Forecast
119,2024,3,Teller,112,108,221,Forecast
119,2024,4,Teller,114,110,224,Forecast
121,2024,0,Washington,23,22,44,Forecast
121,2024,1,Washington,24,23,46,Forecast
121,2024,2,Washington,25,24,48,Forecast
121,2024,3,Washington,25,24,49,Forecast
121,2024,4,Washington,25,25,50,Forecast
123,2024,0,Weld,2628,2515,5142,Forecast
123,2024,1,Weld,2605,2497,5102,Forecast
123,2024,2,Weld,2597,2492,5089,Forecast
123,2024,3,Weld,2579,2478,5057,Forecast
123,2024,4,Weld,2549,2453,5002,Forecast
125,2024,0,Yuma,75,72,147,Forecast
125,2024,1,Yuma,76,72,148,Forecast
125,2024,2,Yuma,76,73,150,Forecast
125,2024,3,Yuma,77,73,150,Forecast
125,2024,4,Yuma,77,74,151,Forecast
1,2025,0,Adams,4289,4116,8405,Forecast
1,2025,1,Adams,4198,4020,8218,Forecast
1,2025,2,Adams,4115,3937,8053,Forecast
1,2025,3,Adams,4025,3856,7881,Forecast
1,2025,4,Adams,3899,3740,7639,Forecast
3,2025,0,Alamosa,117,111,228,Forecast
3,2025,1,Alamosa,114,109,223,Forecast
3,2025,2,Alamosa,113,108,221,Forecast
3,2025,3,Alamosa,112,108,220,Forecast
3,2025,4,Alamosa,110,106,217,Forecast
5,2025,0,Arapahoe,4345,4166,8511,Forecast
5,2025,1,Arapahoe,4299,4115,8413,Forecast
5,2025,2,Arapahoe,4263,4080,8343,Forecast
5,2025,3,Arapahoe,4226,4048,8273,Forecast
5,2025,4,Arapahoe,4150,3981,8131,Forecast
7,2025,0,Archuleta,70,67,137,Forecast
7,2025,1,Archuleta,69,66,135,Forecast
7,2025,2,Archuleta,68,65,133,Forecast
7,2025,3,Archuleta,68,65,132,Forecast
7,2025,4,Archuleta,67,64,131,Forecast
9,2025,0,Baca,16,15,31,Forecast
9,2025,1,Baca,16,16,32,Forecast
9,2025,2,Baca,17,16,34,Forecast
9,2025,3,Baca,18,17,35,Forecast
9,2025,4,Baca,19,18,37,Forecast
11,2025,0,Bent,24,23,46,Forecast
11,2025,1,Bent,24,23,47,Forecast
11,2025,2,Bent,25,24,48,Forecast
11,2025,3,Bent,25,24,49,Forecast
11,2025,4,Bent,26,25,51,Forecast
13,2025,0,Boulder,1674,1602,3276,Forecast
13,2025,1,Boulder,1633,1562,3196,Forecast
13,2025,2,Boulder,1604,1534,3138,Forecast
13,2025,3,Boulder,1577,1511,3088,Forecast
13,2025,4,Boulder,1543,1479,3022,Forecast
14,2025,0,Broomfield,461,441,903,Forecast
14,2025,1,Broomfield,459,440,899,Forecast
14,2025,2,Broomfield,457,439,897,Forecast
14,2025,3,Broomfield,455,438,893,Forecast
14,2025,4,Broomfield,446,430,876,Forecast
15,2025,0,Chaffee,88,84,172,Forecast
15,2025,1,Chaffee,89,85,174,Forecast
15,2025,2,Chaffee,91,87,178,Forecast
15,2025,3,Chaffee,92,89,182,Forecast
15,2025,4,Chaffee,94,91,184,Forecast
17,2025,0,Cheyenne,13,13,26,Forecast
17,2025,1,Cheyenne,13,13,26,Forecast
17,2025,2,Cheyenne,13,13,26,Forecast
17,2025,3,Cheyenne,13,13,26,Forecast
17,2025,4,Cheyenne,14,13,27,Forecast
19,2025,0,Clear Creek,45,43,88,Forecast
19,2025,1,Clear Creek,46,44,90,Forecast
19,2025,2,Clear Creek,47,45,92,Forecast
19,2025,3,Clear Creek,48,47,95,Forecast
19,2025,4,Clear Creek,49,48,97,Forecast
21,2025,0,Conejos,58,56,114,Forecast
21,2025,1,Conejos,57,55,112,Forecast
21,2025,2,Conejos,57,54,111,Forecast
21,2025,3,Conejos,56,54,110,Forecast
21,2025,4,Conejos,55,53,108,Forecast
23,2025,0,Costilla,16,15,31,Forecast
23,2025,1,Costilla,17,16,32,Forecast
23,2025,2,Costilla,17,16,33,Forecast
23,2025,3,Costilla,18,17,35,Forecast
23,2025,4,Costilla,18,17,36,Forecast
25,2025,0,Crowley,17,16,33,Forecast
25,2025,1,Crowley,16,16,32,Forecast
25,2025,2,Crowley,16,15,31,Forecast
25,2025,3,Crowley,15,15,30,Forecast
25,2025,4,Crowley,15,14,29,Forecast
27,2025,0,Custer,17,17,34,Forecast
27,2025,1,Custer,17,16,33,Forecast
27,2025,2,Custer,16,16,32,Forecast
27,2025,3,Custer,16,15,31,Forecast
27,2025,4,Custer,16,15,31,Forecast
29,2025,0,Delta,147,140,287,Forecast
29,2025,1,Delta,146,139,285,Forecast
29,2025,2,Delta,146,140,286,Forecast
29,2025,3,Delta,147,140,287,Forecast
29,2025,4,Delta,147,141,288,Forecast
31,2025,0,Denver,5048,4834,9882,Forecast
31,2025,1,Denver,4777,4572,9349,Forecast
31,2025,2,Denver,4538,4342,8880,Forecast
31,2025,3,Denver,4305,4121,8426,Forecast
31,2025,4,Denver,4036,3866,7902,Forecast
33,2025,0,Dolores,7,7,14,Forecast
33,2025,1,Dolores,7,7,14,Forecast
33,2025,2,Dolores,7,7,14,Forecast
33,2025,3,Dolores,7,7,15,Forecast
33,2025,4,Dolores,8,7,15,Forecast
35,2025,0,Douglas,2208,2111,4319,Forecast
35,2025,1,Douglas,2157,2064,4221,Forecast
35,2025,2,Douglas,2113,2023,4136,Forecast
35,2025,3,Douglas,2068,1980,4048,Forecast
35,2025,4,Douglas,2008,1924,3933,Forecast
37,2025,0,Eagle,324,309,633,Forecast
37,2025,1,Eagle,317,304,621,Forecast
37,2025,2,Eagle,313,300,613,Forecast
37,2025,3,Eagle,309,297,607,Forecast
37,2025,4,Eagle,304,293,597,Forecast
39,2025,0,Elbert,200,191,391,Forecast
39,2025,1,Elbert,202,194,395,Forecast
39,2025,2,Elbert,205,197,402,Forecast
39,2025,3,Elbert,206,199,406,Forecast
39,2025,4,Elbert,206,199,405,Forecast
41,2025,0,El Paso,5539,5292,10832,Forecast
41,2025,1,El Paso,5382,5146,10528,Forecast
41,2025,2,El Paso,5252,5024,10276,Forecast
41,2025,3,El Paso,5126,4904,10030,Forecast
41,2025,4,El Paso,4959,4744,9703,Forecast
43,2025,0,Fremont,205,196,401,Forecast
43,2025,1,Fremont,205,196,401,Forecast
43,2025,2,Fremont,207,198,405,Forecast
43,2025,3,Fremont,208,200,408,Forecast
43,2025,4,Fremont,207,199,405,Forecast
45,2025,0,Garfield,441,421,863,Forecast
45,2025,1,Garfield,431,412,842,Forecast
45,2025,2,Garfield,423,405,828,Forecast
45,2025,3,Garfield,417,399,816,Forecast
45,2025,4,Garfield,409,391,800,Forecast
47,2025,0,Gilpin,22,21,44,Forecast
47,2025,1,Gilpin,23,22,44,Forecast
47,2025,2,Gilpin,23,22,45,Forecast
47,2025,3,Gilpin,24,23,46,Forecast
47,2025,4,Gilpin,24,23,47,Forecast
49,2025,0,Grand,79,76,155,Forecast
49,2025,1,Grand,81,78,159,Forecast
49,2025,2,Grand,84,80,164,Forecast
49,2025,3,Grand,86,83,170,Forecast
49,2025,4,Grand,87,84,172,Forecast
51,2025,0,Gunnison,78,75,153,Forecast
51,2025,1,Gunnison,81,77,158,Forecast
51,2025,2,Gunnison,83,80,164,Forecast
51,2025,3,Gunnison,86,83,169,Forecast
51,2025,4,Gunnison,89,85,174,Forecast
53,2025,0,Hinsdale,4,3,7,Forecast
53,2025,1,Hinsdale,4,4,7,Forecast
53,2025,2,Hinsdale,4,4,8,Forecast
53,2025,3,Hinsdale,4,4,8,Forecast
53,2025,4,Hinsdale,4,4,8,Forecast
55,2025,0,Huerfano,29,28,57,Forecast
55,2025,1,Huerfano,29,28,56,Forecast
55,2025,2,Huerfano,29,28,57,Forecast
55,2025,3,Huerfano,29,28,57,Forecast
55,2025,4,Huerfano,29,28,57,Forecast
57,2025,0,Jackson,7,7,15,Forecast
57,2025,1,Jackson,7,7,14,Forecast
57,2025,2,Jackson,7,7,14,Forecast
57,2025,3,Jackson,7,7,14,Forecast
57,2025,4,Jackson,7,7,14,Forecast
59,2025,0,Jefferson,3220,3080,6301,Forecast
59,2025,1,Jefferson,3221,3081,6303,Forecast
59,2025,2,Jefferson,3246,3107,6353,Forecast
59,2025,3,Jefferson,3265,3127,6392,Forecast
59,2025,4,Jefferson,3254,3120,6374,Forecast
61,2025,0,Kiowa,7,7,14,Forecast
61,2025,1,Kiowa,8,7,15,Forecast
61,2025,2,Kiowa,8,8,16,Forecast
61,2025,3,Kiowa,9,9,18,Forecast
61,2025,4,Kiowa,10,9,19,Forecast
63,2025,0,Kit Carson,53,51,103,Forecast
63,2025,1,Kit Carson,52,50,103,Forecast
63,2025,2,Kit Carson,52,50,102,Forecast
63,2025,3,Kit Carson,52,50,102,Forecast
63,2025,4,Kit Carson,51,49,101,Forecast
65,2025,0,Lake,59,57,116,Forecast
65,2025,1,Lake,57,55,111,Forecast
65,2025,2,Lake,55,53,108,Forecast
65,2025,3,Lake,53,51,104,Forecast
65,2025,4,Lake,52,49,101,Forecast
67,2025,0,La Plata,315,301,616,Forecast
67,2025,1,La Plata,303,290,593,Forecast
67,2025,2,La Plata,293,280,573,Forecast
67,2025,3,La Plata,284,272,556,Forecast
67,2025,4,La Plata,274,262,536,Forecast
69,2025,0,Larimer,2100,2010,4110,Forecast
69,2025,1,Larimer,2103,2015,4118,Forecast
69,2025,2,Larimer,2114,2029,4143,Forecast
69,2025,3,Larimer,2125,2042,4167,Forecast
69,2025,4,Larimer,2113,2032,4145,Forecast
71,2025,0,Las Animas,63,61,124,Forecast
71,2025,1,Las Animas,65,62,127,Forecast
71,2025,2,Las Animas,67,64,131,Forecast
71,2025,3,Las Animas,69,67,136,Forecast
71,2025,4,Las Animas,71,68,139,Forecast
73,2025,0,Lincoln,34,33,67,Forecast
73,2025,1,Lincoln,35,33,68,Forecast
73,2025,2,Lincoln,35,34,69,Forecast
73,2025,3,Lincoln,35,34,69,Forecast
73,2025,4,Lincoln,35,34,69,Forecast
75,2025,0,Logan,120,115,235,Forecast
75,2025,1,Logan,118,113,232,Forecast
75,2025,2,Logan,118,113,230,Forecast
75,2025,3,Logan,117,112,229,Forecast
75,2025,4,Logan,115,111,227,Forecast
77,2025,0,Mesa,887,847,1734,Forecast
77,2025,1,Mesa,860,823,1683,Forecast
77,2025,2,Mesa,843,806,1649,Forecast
77,2025,3,Mesa,830,794,1623,Forecast
77,2025,4,Mesa,815,780,1594,Forecast
79,2025,0,Mineral,4,4,8,Forecast
79,2025,1,Mineral,4,4,8,Forecast
79,2025,2,Mineral,4,4,8,Forecast
79,2025,3,Mineral,4,4,9,Forecast
79,2025,4,Mineral,5,4,9,Forecast
81,2025,0,Moffat,101,97,198,Forecast
81,2025,1,Moffat,100,95,195,Forecast
81,2025,2,Moffat,99,95,194,Forecast
81,2025,3,Moffat,99,95,193,Forecast
81,2025,4,Moffat,98,94,192,Forecast
83,2025,0,Montezuma,175,168,343,Forecast
83,2025,1,Montezuma,172,165,337,Forecast
83,2025,2,Montezuma,170,164,334,Forecast
83,2025,3,Montezuma,169,162,331,Forecast
83,2025,4,Montezuma,166,160,326,Forecast
85,2025,0,Montrose,262,250,513,Forecast
85,2025,1,Montrose,252,241,492,Forecast
85,2025,2,Montrose,245,235,480,Forecast
85,2025,3,Montrose,240,230,470,Forecast
85,2025,4,Montrose,234,224,459,Forecast
87,2025,0,Morgan,250,239,490,Forecast
87,2025,1,Morgan,244,234,478,Forecast
87,2025,2,Morgan,242,231,473,Forecast
87,2025,3,Morgan,238,228,466,Forecast
87,2025,4,Morgan,233,223,455,Forecast
89,2025,0,Otero,90,86,177,Forecast
89,2025,1,Otero,94,90,184,Forecast
89,2025,2,Otero,100,95,194,Forecast
89,2025,3,Otero,105,101,206,Forecast
89,2025,4,Otero,109,105,214,Forecast
91,2025,0,Ouray,24,23,48,Forecast
91,2025,1,Ouray,25,24,48,Forecast
91,2025,2,Ouray,25,24,49,Forecast
91,2025,3,Ouray,25,24,50,Forecast
91,2025,4,Ouray,26,25,50,Forecast
93,2025,0,Park,85,82,167,Forecast
93,2025,1,Park,87,83,170,Forecast
93,2025,2,Park,89,86,175,Forecast
93,2025,3,Park,91,88,179,Forecast
93,2025,4,Park,93,90,183,Forecast
95,2025,0,Phillips,32,30,62,Forecast
95,2025,1,Phillips,32,31,63,Forecast
95,2025,2,Phillips,33,32,65,Forecast
95,2025,3,Phillips,34,33,67,Forecast
95,2025,4,Phillips,35,33,68,Forecast
97,2025,0,Pitkin,90,86,176,Forecast
97,2025,1,Pitkin,85,82,167,Forecast
97,2025,2,Pitkin,81,77,158,Forecast
97,2025,3,Pitkin,77,73,150,Forecast
97,2025,4,Pitkin,72,69,141,Forecast
99,2025,0,Prowers,76,73,149,Forecast
99,2025,1,Prowers,78,75,153,Forecast
99,2025,2,Prowers,81,78,159,Forecast
99,2025,3,Prowers,84,81,165,Forecast
99,2025,4,Prowers,87,83,170,Forecast
101,2025,0,Pueblo,994,951,1946,Forecast
101,2025,1,Pueblo,975,933,1908,Forecast
101,2025,2,Pueblo,965,924,1889,Forecast
101,2025,3,Pueblo,958,917,1876,Forecast
101,2025,4,Pueblo,946,906,1852,Forecast
103,2025,0,Rio Blanco,41,39,81,Forecast
103,2025,1,Rio Blanco,41,39,80,Forecast
103,2025,2,Rio Blanco,41,39,80,Forecast
103,2025,3,Rio Blanco,41,39,80,Forecast
103,2025,4,Rio Blanco,40,39,79,Forecast
105,2025,0,Rio Grande,66,64,130,Forecast
105,2025,1,Rio Grande,67,64,131,Forecast
105,2025,2,Rio Grande,69,66,134,Forecast
105,2025,3,Rio Grande,70,68,138,Forecast
105,2025,4,Rio Grande,71,68,140,Forecast
107,2025,0,Routt,131,126,257,Forecast
107,2025,1,Routt,134,129,263,Forecast
107,2025,2,Routt,138,133,271,Forecast
107,2025,3,Routt,143,138,281,Forecast
107,2025,4,Routt,146,141,287,Forecast
109,2025,0,Saguache,37,36,73,Forecast
109,2025,1,Saguache,38,36,74,Forecast
109,2025,2,Saguache,39,37,77,Forecast
109,2025,3,Saguache,40,39,79,Forecast
109,2025,4,Saguache,42,40,82,Forecast
111,2025,0,San Juan,3,3,6,Forecast
111,2025,1,San Juan,3,3,6,Forecast
111,2025,2,San Juan,3,3,6,Forecast
111,2025,3,San Juan,3,3,6,Forecast
111,2025,4,San Juan,3,3,6,Forecast
113,2025,0,San Miguel,50,48,97,Forecast
113,2025,1,San Miguel,50,48,99,Forecast
113,2025,2,San Miguel,51,49,101,Forecast
113,2025,3,San Miguel,53,51,103,Forecast
113,2025,4,San Miguel,54,52,105,Forecast
115,2025,0,Sedgwick,13,12,25,Forecast
115,2025,1,Sedgwick,13,12,25,Forecast
115,2025,2,Sedgwick,13,13,26,Forecast
115,2025,3,Sedgwick,14,13,27,Forecast
115,2025,4,Sedgwick,14,13,27,Forecast
117,2025,0,Summit,159,152,311,Forecast
117,2025,1,Summit,152,145,297,Forecast
117,2025,2,Summit,145,139,284,Forecast
117,2025,3,Summit,138,132,270,Forecast
117,2025,4,Summit,132,126,258,Forecast
119,2025,0,Teller,110,105,216,Forecast
119,2025,1,Teller,112,107,219,Forecast
119,2025,2,Teller,115,111,226,Forecast
119,2025,3,Teller,116,112,228,Forecast
119,2025,4,Teller,117,113,230,Forecast
121,2025,0,Washington,22,21,44,Forecast
121,2025,1,Washington,23,22,46,Forecast
121,2025,2,Washington,24,23,48,Forecast
121,2025,3,Washington,26,25,50,Forecast
121,2025,4,Washington,26,25,51,Forecast
123,2025,0,Weld,2719,2602,5321,Forecast
123,2025,1,Weld,2692,2580,5271,Forecast
123,2025,2,Weld,2682,2574,5255,Forecast
123,2025,3,Weld,2677,2572,5249,Forecast
123,2025,4,Weld,2661,2561,5221,Forecast
125,2025,0,Yuma,76,73,149,Forecast
125,2025,1,Yuma,76,73,149,Forecast
125,2025,2,Yuma,77,73,150,Forecast
125,2025,3,Yuma,78,74,152,Forecast
125,2025,4,Yuma,78,75,152,Forecast
