,ZIP,Age_Group,CLEANED_CAPA_GAGR,GEO.id2,CLEANED_POP_GAGR,comparison
5,80002,3-4,0.07968992635786476,80002.0,0.008968789417203915,0.07072113694066084
7,80003,3-4,-0.0009510225641641279,80003.0,0.008551224538983826,-0.009502247103147954
9,80004,3-4,-0.00996239227464335,80004.0,0.008754179242066451,-0.0187165715167098
11,80005,3-4,-0.014138830148837656,80005.0,0.008361985166919661,-0.022500815315757317
13,80007,3-4,0.22553274208831398,80007.0,0.009216784699163982,0.21631595738915
15,80010,3-4,0.08507507308481621,80010.0,0.011726785160534936,0.07334828792428127
17,80011,3-4,-0.05583509468893488,80011.0,0.011716861409642343,-0.06755195609857723
19,80012,3-4,0.003389840230146879,80012.0,0.011897312088912537,-0.008507471858765658
21,80013,3-4,0.0,80013.0,0.011748216594184235,-0.011748216594184235
23,80014,3-4,0.08031393090175953,80014.0,0.011428942510113504,0.06888498839164603
25,80015,3-4,0.02292561391051451,80015.0,0.011849114644493675,0.011076499266020834
27,80016,3-4,0.07009735015324203,80016.0,0.011727278092234172,0.05837007206100786
29,80017,3-4,-0.09891903657059364,80017.0,0.011862811080972202,-0.11078184765156585
31,80018,3-4,-0.04220415465719829,80018.0,0.011376930325438961,-0.05358108498263725
33,80019,3-4,0.0425720702853738,80019.0,0.0031201323869440856,0.03945193789842971
35,80020,3-4,-0.03868604835949818,80020.0,0.028740350751916166,-0.06742639911141435
37,80021,3-4,0.004923339740273702,80021.0,0.008391755511849563,-0.0034684157715758612
39,80022,3-4,0.04710991263547215,80022.0,0.002089866438339971,0.04502004619713218
41,80023,3-4,0.06904496764969759,80023.0,0.0283589470091683,0.040686020640529286
43,80026,3-4,0.06372723831350302,80026.0,-0.02784429991780013,0.09157153823130315
45,80027,3-4,0.010932700343161184,80027.0,-0.02805608936428161,0.038988789707442795
47,80030,3-4,0.008569136925521859,80030.0,0.002713709195548697,0.005855427729973162
49,80031,3-4,-0.02791853141719658,80031.0,0.002087684944615642,-0.03000621636181222
51,80033,3-4,0.019178283508979543,80033.0,0.008600253900873156,0.010578029608106387
53,80045,3-4,0.0,80045.0,0.0,0.0
57,80102,3-4,0.0,80102.0,0.0,0.0
59,80103,3-4,0.0,80103.0,0.011561077717746393,-0.011561077717746393
61,80104,3-4,-0.11735071096054206,80104.0,-0.02274384842109256,-0.0946068625394495
62,80105,3-4,0.0,80105.0,0.0206207261596576,-0.0206207261596576
63,80106,3-4,0.0,80106.0,0.020286041538046806,-0.020286041538046806
65,80107,3-4,-0.0794253821016766,80107.0,0.16758205846435614,-0.24700744056603274
67,80108,3-4,0.10974935195343716,80108.0,-0.022953877855601545,0.1327032298090387
69,80109,3-4,0.13843264221754725,80109.0,-0.02312046351207442,0.16155310572962167
71,80110,3-4,0.05981401275261233,80110.0,0.01185477474728347,0.047959238005328864
73,80111,3-4,-0.00800012851819365,80111.0,0.011561077717746393,-0.019561206235940043
75,80112,3-4,-0.01812839113893039,80112.0,0.012008435649379035,-0.030136826788309423
77,80113,3-4,-0.06849354261194618,80113.0,0.011398877591999312,-0.07989242020394549
79,80116,3-4,0.0,80116.0,-0.026205431279797353,0.026205431279797353
81,80117,3-4,0.07151675122143941,80117.0,0.1631599960755994,-0.09164324485415998
82,80118,3-4,0.0,80118.0,-0.022175705519037026,0.022175705519037026
84,80120,3-4,-0.00783155818224146,80120.0,0.011657346271283897,-0.019488904453525357
86,80121,3-4,0.05175790477917808,80121.0,0.011742085338004804,0.04001581944117327
88,80122,3-4,-0.02079949999452224,80122.0,0.011922924929068657,-0.0327224249235909
90,80123,3-4,-0.05117071698316078,80123.0,0.008787969389939532,-0.05995868637310031
92,80124,3-4,-0.000368799569983258,80124.0,-0.023044569368880774,0.022675769798897516
94,80125,3-4,-0.009524026526419926,80125.0,-0.02378718867684748,0.014263162150427555
96,80126,3-4,-0.053662028894774005,80126.0,-0.022651424690267707,-0.031010604204506298
98,80127,3-4,0.010817280287132247,80127.0,0.008653175414356618,0.0021641048727756296
100,80128,3-4,-0.023281944916361708,80128.0,0.008458002332698111,-0.03173994724905982
102,80129,3-4,0.02721839284847216,80129.0,-0.02291352144388914,0.0501319142923613
104,80130,3-4,0.005037815259212097,80130.0,-0.023077632582536034,0.02811544784174813
106,80132,3-4,-0.010454649851761477,80132.0,0.01830217223777386,-0.02875682208953534
108,80133,3-4,0.0,80133.0,0.01791187158479146,-0.01791187158479146
