PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
48,80602,FCC/DC/CCC,"[39.919258, -104.911005]"
65,80233,FCC/DC/CCC,"[39.9101, -104.9344]"
100,80134,School-Age Facility,"[39.525183, -104.78664599999999]"
115,80904,Preschool Facility,"[38.86547, -104.867475]"
157,80123,Infant/Toddler Facility,"[39.604151, -105.063248]"
180,80015,FCC/DC/CCC,"[39.623672, -104.756067]"
327,81067,FCC/DC/CCC,"[38.055040999999996, -103.704952]"
412,80503,FCC/DC/CCC,"[40.184872, -105.14960900000001]"
562,80501,FCC/DC/CCC,"[40.166584, -105.11741200000002]"
974,80017,FCC/DC/CCC,"[39.687472, -104.78274]"
993,80470,FCC/DC/CCC,"[39.490309, -105.41329099999999]"
1178,80205,FCC/DC/CCC,"[39.761221, -104.955252]"
1285,80525,Infant/Toddler Facility,"[40.54544, -105.064904]"
1473,80124,FCC/DC/CCC,"[39.554402, -104.88922600000001]"
1529,80538,FCC/DC/CCC,"[40.41602, -105.075352]"
1727,80631,FCC/DC/CCC,"[40.396594, -104.69382900000001]"
1730,80134,FCC/DC/CCC,"[39.485816, -104.780493]"
1996,80015,School-Age Facility,"[39.619406, -104.778859]"
2082,80109,Infant/Toddler Facility,"[39.410291, -104.897292]"
2096,80534,FCC/DC/CCC,"[40.331378, -104.91893999999999]"
2185,80401,School-Age Facility,"[39.755469, -105.230019]"
2186,81641,Preschool Facility,"[40.045433, -107.905387]"
2450,80013,School-Age Facility,"[39.644079, -104.75753]"
2561,80526,FCC/DC/CCC,"[40.527613, -105.10289099999999]"
2644,80634,FCC/DC/CCC,"[40.433856, -104.757452]"
2712,80015,School-Age Facility,"[39.626658, -104.779394]"
2799,80015,School-Age Facility,"[39.621346, -104.797077]"
2803,81635,FCC/DC/CCC,"[39.452690000000004, -108.05361299999998]"
2887,80603,FCC/DC/CCC,"[40.004366999999995, -104.713657]"
2909,80918,FCC/DC/CCC,"[38.917879, -104.782089]"
2991,81650,FCC/DC/CCC,"[39.534308, -107.772421]"
3055,80751,FCC/DC/CCC,"[40.722986, -102.806754]"
3064,80260,FCC/DC/CCC,"[39.879418, -105.019682]"
3078,81615,School-Age Facility,"[39.208721999999995, -106.949795]"
3079,80550,FCC/DC/CCC,"[40.466228, -104.905596]"
3089,80601,School-Age Facility,"[39.993117, -104.802203]"
3098,80013,School-Age Facility,"[39.646737, -104.80502299999999]"
3188,81639,FCC/DC/CCC,"[40.494023, -107.264436]"
3192,81601,FCC/DC/CCC,"[39.514516, -107.32011299999999]"
3194,80922,FCC/DC/CCC,"[38.870868, -104.703983]"
3281,80015,FCC/DC/CCC,"[39.618473, -104.769863]"
3291,80911,FCC/DC/CCC,"[38.758963, -104.732839]"
3299,80120,FCC/DC/CCC,"[39.585691, -105.022019]"
3491,80010,FCC/DC/CCC,"[39.716356, -104.855775]"
3615,80220,Infant/Toddler Facility,"[39.734045, -104.925832]"
3803,80922,FCC/DC/CCC,"[38.906504999999996, -104.71768]"
3819,80465,School-Age Facility,"[39.688722999999996, -105.19031799999999]"
3923,80005,FCC/DC/CCC,"[39.851456, -105.094473]"
4117,80127,FCC/DC/CCC,"[39.625091999999995, -105.11428899999999]"
4225,80538,FCC/DC/CCC,"[40.442547999999995, -105.073222]"
4249,80220,School-Age Facility,"[39.723755, -104.93860600000001]"
4308,80226,Preschool Facility,"[39.715441999999996, -105.075943]"
4310,80123,Preschool Facility,"[39.624904, -105.03598799999999]"
4321,80521,School-Age Facility,"[40.577571999999996, -105.11131499999999]"
4322,80526,School-Age Facility,"[40.566866999999995, -105.121757]"
4323,80918,FCC/DC/CCC,"[38.907871, -104.773809]"
4383,80236,School-Age Facility,"[39.634183, -105.040535]"
4384,81413,Preschool Facility,"[38.9021, -107.926355]"
4392,80905,FCC/DC/CCC,"[38.826223, -104.846423]"
4394,81212,FCC/DC/CCC,"[38.437211, -105.234853]"
4399,80104,FCC/DC/CCC,"[39.366381, -104.82123100000001]"
4400,80126,FCC/DC/CCC,"[39.537157, -104.94641599999999]"
4402,80121,School-Age Facility,"[39.603066, -104.951925]"
4403,80113,FCC/DC/CCC,"[39.652346, -104.93348200000001]"
4404,80134,FCC/DC/CCC,"[39.537923, -104.795424]"
4422,80538,FCC/DC/CCC,"[40.445565, -105.079277]"
4563,80228,FCC/DC/CCC,"[39.693346999999996, -105.134759]"
4584,80526,FCC/DC/CCC,"[40.545255, -105.092574]"
4629,80525,FCC/DC/CCC,"[40.502289000000005, -105.06921899999999]"
4630,80525,FCC/DC/CCC,"[40.486635, -105.08310300000001]"
4652,80104,FCC/DC/CCC,"[39.369819, -104.822092]"
4779,81055,FCC/DC/CCC,"[37.504635, -105.008477]"
4811,80615,FCC/DC/CCC,"[40.514852000000005, -104.730423]"
4812,80720,FCC/DC/CCC,"[40.160083, -103.215284]"
4815,80525,FCC/DC/CCC,"[40.515915, -105.056504]"
4822,80801,FCC/DC/CCC,"[39.745321000000004, -103.028729]"
4830,81435,FCC/DC/CCC,"[37.946368, -107.882079]"
4835,80735,FCC/DC/CCC,"[39.704388, -102.293778]"
4845,80020,FCC/DC/CCC,"[39.925907, -105.08295600000001]"
4846,80026,FCC/DC/CCC,"[40.000174, -105.094598]"
4850,80129,Preschool Facility,"[39.555701, -104.991199]"
4855,80112,School-Age Facility,"[39.581721, -104.899603]"
4856,80111,School-Age Facility,"[39.597055, -104.91061499999999]"
4857,80112,School-Age Facility,"[39.590478999999995, -104.89621100000001]"
4958,80020,FCC/DC/CCC,"[39.940059999999995, -105.031442]"
5358,81401,FCC/DC/CCC,"[38.4783, -107.8588]"
5411,80120,FCC/DC/CCC,"[39.616034, -105.010696]"
5413,80758,FCC/DC/CCC,"[40.075379999999996, -102.246643]"
5420,80212,School-Age Facility,"[39.781298, -105.04259499999999]"
5422,80212,School-Age Facility,"[39.764871, -105.039907]"
5424,81639,FCC/DC/CCC,"[40.493495, -107.262556]"
5430,80228,FCC/DC/CCC,"[39.716102, -105.13823799999999]"
5431,80305,FCC/DC/CCC,"[39.981062, -105.252384]"
5546,81049,Preschool Facility,"[37.246959999999994, -103.35333]"
5763,80109,FCC/DC/CCC,"[39.392221, -104.91008899999999]"
5874,80005,FCC/DC/CCC,"[39.845853000000005, -105.087507]"
5880,80807,FCC/DC/CCC,"[39.301727, -102.28671]"
5949,80742,Preschool Facility,"[40.613645, -103.80181]"
6006,80305,School-Age Facility,"[39.981062, -105.252384]"
6007,80911,Preschool Facility,"[38.752168, -104.73033199999999]"
6356,80759,Preschool Facility,"[40.123354, -102.732097]"
6405,80526,FCC/DC/CCC,"[40.545696, -105.09568300000001]"
6427,80526,FCC/DC/CCC,"[40.553351, -105.131476]"
6437,80204,FCC/DC/CCC,"[39.735170000000004, -105.02259]"
6443,81004,FCC/DC/CCC,"[38.257099, -104.631038]"
6565,80814,FCC/DC/CCC,"[38.957014, -105.145772]"
6681,80602,FCC/DC/CCC,"[39.918856, -104.912659]"
6722,80205,FCC/DC/CCC,"[39.761743, -104.96437900000001]"
6803,81101,FCC/DC/CCC,"[37.480154999999996, -105.89005300000001]"
6804,80911,FCC/DC/CCC,"[38.76683, -104.72940200000001]"
7019,80134,School-Age Facility,"[39.527701, -104.806794]"
7075,81212,FCC/DC/CCC,"[38.437262, -105.18558]"
7199,80020,Infant/Toddler Facility,"[39.916722, -105.076971]"
7292,80228,School-Age Facility,"[39.681534, -105.145569]"
7294,80021,FCC/DC/CCC,"[39.881371, -105.07729499999999]"
7300,80549,FCC/DC/CCC,"[40.7008, -104.99654]"
7366,80465,FCC/DC/CCC,"[39.633259, -105.153194]"
7398,81635,FCC/DC/CCC,"[39.431014000000005, -108.036826]"
7487,80033,FCC/DC/CCC,"[39.770864, -105.07198999999999]"
7490,80304,School-Age Facility,"[40.051190000000005, -105.274225]"
7491,80015,School-Age Facility,"[39.62299, -104.762578]"
7569,80027,FCC/DC/CCC,"[39.965498, -105.163243]"
7657,81212,School-Age Facility,"[38.431569, -105.21437]"
8025,80220,FCC/DC/CCC,"[39.723423, -104.938294]"
8026,80206,FCC/DC/CCC,"[39.734377, -104.943428]"
8155,80915,FCC/DC/CCC,"[38.853351, -104.70481600000001]"
8273,80634,FCC/DC/CCC,"[40.388082, -104.75146099999999]"
8303,80033,FCC/DC/CCC,"[39.763833, -105.06803700000002]"
8311,80422,FCC/DC/CCC,"[39.83437, -105.519279]"
8397,80822,FCC/DC/CCC,"[39.655996, -102.624486]"
8431,80233,School-Age Facility,"[39.889627000000004, -104.968857]"
8592,81201,FCC/DC/CCC,"[38.528013, -105.99566399999999]"
8755,81321,FCC/DC/CCC,"[37.356418, -108.568624]"
8790,80233,FCC/DC/CCC,"[39.900121, -104.94608400000001]"
8916,80011,FCC/DC/CCC,"[39.732745, -104.838011]"
8987,80033,School-Age Facility,"[39.755276, -105.080367]"
9113,80007,School-Age Facility,"[39.826173, -105.18688799999998]"
9248,80916,FCC/DC/CCC,"[38.782577, -104.74135799999999]"
9298,80022,School-Age Facility,"[39.806809, -104.928386]"
9388,80015,FCC/DC/CCC,"[39.630549, -104.811679]"
9391,80011,FCC/DC/CCC,"[39.744257, -104.76273]"
9484,80524,Preschool Facility,"[40.573203, -105.067268]"
9485,80124,School-Age Facility,"[39.547282, -104.900244]"
9489,81301,FCC/DC/CCC,"[37.287935, -107.882975]"
9571,80021,School-Age Facility,"[39.886388000000004, -105.11835500000001]"
9650,80222,FCC/DC/CCC,"[39.662788, -104.92981499999999]"
9792,80723,FCC/DC/CCC,"[40.257496, -103.631138]"
9796,80120,FCC/DC/CCC,"[39.598593, -105.013574]"
9812,80537,FCC/DC/CCC,"[40.376011, -105.01834]"
9815,80021,School-Age Facility,"[39.885552000000004, -105.112136]"
9816,81503,Preschool Facility,"[39.041581, -108.51843899999999]"
9876,81635,FCC/DC/CCC,"[39.447648, -107.97836000000001]"
9886,81630,Preschool Facility,"[39.336112, -108.21264]"
9890,80813,FCC/DC/CCC,"[38.751257, -105.186425]"
9944,80222,School-Age Facility,"[39.656141999999996, -104.9129]"
9990,80439,FCC/DC/CCC,"[39.721638, -105.412957]"
10057,80917,FCC/DC/CCC,"[38.901827000000004, -104.733159]"
10108,80920,FCC/DC/CCC,"[38.956463, -104.79732299999999]"
10270,81230,FCC/DC/CCC,"[38.552633, -106.932758]"
10325,81504,FCC/DC/CCC,"[39.072619, -108.48576000000001]"
10445,80916,FCC/DC/CCC,"[38.790872, -104.744334]"
10468,81620,School-Age Facility,"[39.638311, -106.534761]"
10564,80525,FCC/DC/CCC,"[40.500014, -105.058798]"
10671,81601,FCC/DC/CCC,"[39.566352, -107.36618600000001]"
10688,80207,FCC/DC/CCC,"[39.753370000000004, -104.940225]"
10699,80823,Preschool Facility,"[38.738726, -103.53553000000001]"
10700,80013,School-Age Facility,"[39.664087, -104.76570600000001]"
10704,80524,Preschool Facility,"[40.573961, -105.073452]"
10779,80120,School-Age Facility,"[39.585467, -104.998977]"
10780,80122,School-Age Facility,"[39.590295000000005, -104.954102]"
10782,80027,School-Age Facility,"[39.936422, -105.158657]"
10839,80014,Preschool Facility,"[39.671948, -104.81089399999999]"
10840,80010,Preschool Facility,"[39.729237, -104.862149]"
10841,80011,Preschool Facility,"[39.719373, -104.841371]"
10842,80013,Preschool Facility,"[39.65668, -104.795009]"
10845,80229,School-Age Facility,"[39.869147, -104.960945]"
10930,80026,FCC/DC/CCC,"[39.991865999999995, -105.09622]"
11037,80111,School-Age Facility,"[39.615904, -104.921547]"
11040,81652,Preschool Facility,"[39.549399, -107.66161899999999]"
11201,80550,FCC/DC/CCC,"[40.523392, -104.856596]"
11248,80920,FCC/DC/CCC,"[38.948926, -104.73299899999999]"
11269,80260,Preschool Facility,"[39.870754, -105.017199]"
11280,80027,FCC/DC/CCC,"[39.970495, -105.129062]"
11343,80916,FCC/DC/CCC,"[38.824154, -104.740124]"
11400,80910,Preschool Facility,"[38.799572, -104.766994]"
11430,80128,School-Age Facility,"[39.585798, -105.09752399999999]"
11431,80123,School-Age Facility,"[39.587269, -105.078078]"
11627,80129,FCC/DC/CCC,"[39.53934, -105.00651599999999]"
11647,81212,FCC/DC/CCC,"[38.477815, -105.20375]"
11658,81006,FCC/DC/CCC,"[38.222274, -104.53434399999999]"
11680,80918,School-Age Facility,"[38.931483, -104.757639]"
11684,80210,School-Age Facility,"[39.661318, -104.955696]"
11711,80911,School-Age Facility,"[38.753407, -104.734451]"
11713,80231,School-Age Facility,"[39.662788, -104.92981499999999]"
11742,80234,FCC/DC/CCC,"[39.893378000000006, -105.005146]"
11769,80916,FCC/DC/CCC,"[38.815099, -104.733207]"
11786,80925,FCC/DC/CCC,"[38.742345, -104.63424599999999]"
11914,81324,FCC/DC/CCC,"[37.765448, -108.906897]"
11918,80127,Preschool Facility,"[39.614065000000004, -105.1416]"
11923,80138,FCC/DC/CCC,"[39.464442, -104.64816400000001]"
11986,80401,School-Age Facility,"[39.759141, -105.14799199999999]"
11987,80021,School-Age Facility,"[39.872015000000005, -105.08010300000001]"
12109,80911,FCC/DC/CCC,"[38.745707, -104.72776999999999]"
12128,80113,School-Age Facility,"[39.639043, -104.95867]"
12131,80644,FCC/DC/CCC,"[40.390493, -104.557602]"
12136,80015,School-Age Facility,"[39.610786, -104.764905]"
12256,80017,Infant/Toddler Facility,"[39.687821, -104.806551]"
12278,80923,Infant/Toddler Facility,"[38.923799, -104.745405]"
12294,80521,Infant/Toddler Facility,"[40.579677000000004, -105.103261]"
12347,80466,School-Age Facility,"[39.960124, -105.50928600000002]"
12629,80920,FCC/DC/CCC,"[38.964746000000005, -104.741394]"
12984,80027,FCC/DC/CCC,"[39.953979, -105.16568400000001]"
12990,80130,School-Age Facility,"[39.547677, -104.912173]"
13011,80549,Infant/Toddler Facility,"[40.692129, -105.01489]"
13172,80524,FCC/DC/CCC,"[40.60432, -105.06353600000001]"
13219,81632,FCC/DC/CCC,"[39.405495, -107.13973899999999]"
13221,80701,FCC/DC/CCC,"[40.242323, -103.81189]"
13233,81125,FCC/DC/CCC,"[37.749097, -106.11191399999998]"
13239,80903,Preschool Facility,"[38.840414, -104.809483]"
13243,80918,Preschool Facility,"[38.905966, -104.757837]"
13244,80910,Preschool Facility,"[38.831886, -104.765589]"
13324,80109,FCC/DC/CCC,"[39.393637, -104.90134499999999]"
13396,81002,School-Age Facility,"[38.322885, -104.770009]"
13421,80220,School-Age Facility,"[39.746587, -104.92999499999999]"
13432,81073,FCC/DC/CCC,"[37.409445, -102.619304]"
13583,80124,School-Age Facility,"[39.557395, -104.89483700000001]"
13627,80013,FCC/DC/CCC,"[39.652661, -104.80517900000001]"
13657,80013,Infant/Toddler Facility,"[39.670838, -104.792293]"
13772,81020,FCC/DC/CCC,"[37.405576, -104.653596]"
13848,81101,FCC/DC/CCC,"[37.433729, -105.984268]"
14065,81052,FCC/DC/CCC,"[38.078678000000004, -102.613487]"
14083,80807,FCC/DC/CCC,"[39.301784000000005, -102.27558]"
14088,80831,FCC/DC/CCC,"[39.002769, -104.498419]"
14090,80126,School-Age Facility,"[39.555727000000005, -104.94783100000001]"
14159,80909,FCC/DC/CCC,"[38.888861, -104.742189]"
14162,80916,School-Age Facility,"[38.816538, -104.74010799999999]"
14197,80537,FCC/DC/CCC,"[40.377575, -105.11899299999999]"
14215,81435,FCC/DC/CCC,"[37.934973, -107.80208400000001]"
14405,80132,School-Age Facility,"[39.098191, -104.850273]"
14474,80126,FCC/DC/CCC,"[39.526916, -104.949495]"
14500,80435,FCC/DC/CCC,"[39.592729, -106.00483700000001]"
14533,80218,School-Age Facility,"[39.745723999999996, -104.976575]"
14537,80906,School-Age Facility,"[38.757034000000004, -104.814128]"
14539,80132,School-Age Facility,"[39.090695000000004, -104.748468]"
14585,80129,School-Age Facility,"[39.527696999999996, -105.02178400000001]"
14807,80220,FCC/DC/CCC,"[39.733539, -104.909976]"
15093,80015,FCC/DC/CCC,"[39.626301, -104.731376]"
15099,81401,FCC/DC/CCC,"[38.456778, -107.862246]"
15143,81507,FCC/DC/CCC,"[39.061914, -108.60928799999999]"
15467,81625,FCC/DC/CCC,"[40.508128, -107.583045]"
15470,80537,FCC/DC/CCC,"[40.389262, -105.11136699999999]"
15493,81601,FCC/DC/CCC,"[39.548318, -107.334391]"
15494,80016,School-Age Facility,"[39.579139, -104.756985]"
15532,80126,School-Age Facility,"[39.540551, -104.981475]"
15552,80016,FCC/DC/CCC,"[39.576111, -104.706599]"
15573,80211,FCC/DC/CCC,"[39.750546, -105.024615]"
15655,81007,FCC/DC/CCC,"[38.310575, -104.771028]"
15812,80517,School-Age Facility,"[40.375153000000005, -105.54621399999999]"
15818,81520,Preschool Facility,"[39.093314, -108.44501299999999]"
15949,81520,FCC/DC/CCC,"[39.077536, -108.45214299999999]"
16006,81501,Preschool Facility,"[39.072737, -108.55656]"
16029,80817,FCC/DC/CCC,"[38.67839, -104.711377]"
16175,81621,School-Age Facility,"[39.366515, -107.03159199999999]"
16179,80916,FCC/DC/CCC,"[38.801927, -104.736985]"
16203,80005,FCC/DC/CCC,"[39.83187, -105.108043]"
16269,80526,Infant/Toddler Facility,"[40.545158, -105.114626]"
16332,80012,Infant/Toddler Facility,"[39.68722, -104.85651800000001]"
16353,80863,Infant/Toddler Facility,"[39.012328000000004, -105.05729]"
16359,81201,FCC/DC/CCC,"[38.525707000000004, -105.98319199999999]"
16371,81007,FCC/DC/CCC,"[38.300215, -104.7615]"
16391,80906,FCC/DC/CCC,"[38.772838, -104.798107]"
16458,80910,FCC/DC/CCC,"[38.798185, -104.765476]"
16639,81006,FCC/DC/CCC,"[38.229335999999996, -104.53256400000001]"
16668,80834,FCC/DC/CCC,"[39.298359000000005, -102.86348199999999]"
16683,80013,Preschool Facility,"[39.646737, -104.80502299999999]"
16852,81130,FCC/DC/CCC,"[37.822891, -106.906543]"
16873,80631,FCC/DC/CCC,"[40.457687, -104.564725]"
16877,81328,FCC/DC/CCC,"[37.347923, -108.293752]"
16879,80129,FCC/DC/CCC,"[39.539305999999996, -105.012248]"
16989,80129,Infant/Toddler Facility,"[39.541239000000004, -104.993889]"
17061,80918,FCC/DC/CCC,"[38.911145, -104.77107]"
17105,80015,School-Age Facility,"[39.631944, -104.818263]"
17172,81504,FCC/DC/CCC,"[39.067036, -108.49975]"
17267,80734,FCC/DC/CCC,"[40.545704, -102.26361899999999]"
17387,81005,FCC/DC/CCC,"[38.237319, -104.67232]"
17400,81503,School-Age Facility,"[39.072609, -108.611672]"
17453,80435,FCC/DC/CCC,"[39.640629, -106.04018500000001]"
17555,81650,FCC/DC/CCC,"[39.534667, -107.77324399999999]"
17635,80817,Infant/Toddler Facility,"[38.703532, -104.696508]"
17666,80466,FCC/DC/CCC,"[39.963116, -105.51566799999999]"
17694,80813,School-Age Facility,"[38.75075, -105.185373]"
17695,80301,School-Age Facility,"[40.0469, -105.2614]"
17699,80920,School-Age Facility,"[38.95994, -104.749117]"
17701,81601,FCC/DC/CCC,"[39.519293, -107.323205]"
17833,81632,FCC/DC/CCC,"[39.652763, -106.59068500000001]"
17878,80113,FCC/DC/CCC,"[39.627003, -104.982153]"
17987,80634,FCC/DC/CCC,"[40.429520000000004, -104.735405]"
18021,80015,FCC/DC/CCC,"[39.631071999999996, -104.783497]"
18024,80208,School-Age Facility,"[39.681313, -104.96226399999999]"
18028,81501,Preschool Facility,"[39.087198, -108.56041599999999]"
18038,80723,FCC/DC/CCC,"[40.245126, -103.60606999999999]"
18057,80013,FCC/DC/CCC,"[39.648346000000004, -104.772137]"
18272,80525,Preschool Facility,"[40.559157, -105.057356]"
18412,80021,Preschool Facility,"[39.894135999999996, -105.11841499999998]"
18415,80031,Preschool Facility,"[39.83429, -105.029104]"
18416,80030,Preschool Facility,"[39.886919, -105.055696]"
18419,80918,FCC/DC/CCC,"[38.891117, -104.800013]"
18428,80534,FCC/DC/CCC,"[40.340915, -104.952022]"
18513,80723,FCC/DC/CCC,"[40.262562, -103.62655600000001]"
18639,80138,School-Age Facility,"[39.541876, -104.765477]"
18693,81504,Infant/Toddler Facility,"[39.081658000000004, -108.49932]"
18720,81647,Preschool Facility,"[39.58153, -107.53018600000001]"
18731,80504,Infant/Toddler Facility,"[40.229556, -105.131623]"
18761,80921,FCC/DC/CCC,"[39.055611999999996, -104.83989]"
18816,80108,FCC/DC/CCC,"[39.467759, -104.89395800000001]"
18848,80439,FCC/DC/CCC,"[39.68085, -105.36138000000001]"
18852,80117,Preschool Facility,"[39.347937, -104.459726]"
18874,80121,School-Age Facility,"[39.601687, -104.930535]"
18877,80122,School-Age Facility,"[39.587528999999996, -104.981655]"
18904,80237,FCC/DC/CCC,"[39.649944, -104.92160200000001]"
18965,81501,FCC/DC/CCC,"[39.08348, -108.567704]"
19009,80120,School-Age Facility,"[39.601343, -105.00649299999999]"
19033,80210,FCC/DC/CCC,"[39.679265, -104.96043200000001]"
19069,81403,FCC/DC/CCC,"[38.453044, -107.888291]"
19080,80525,FCC/DC/CCC,"[40.503785, -105.073578]"
19160,80304,FCC/DC/CCC,"[40.036183, -105.263671]"
19162,80863,FCC/DC/CCC,"[39.006821, -105.05244099999999]"
19359,80123,FCC/DC/CCC,"[39.605171999999996, -105.108948]"
19365,80111,Preschool Facility,"[39.617290999999994, -104.886223]"
19383,80027,School-Age Facility,"[39.950719, -105.142146]"
19409,80927,FCC/DC/CCC,"[38.924877, -104.677113]"
19440,80011,FCC/DC/CCC,"[39.738774, -104.800552]"
19462,80920,Preschool Facility,"[38.95994, -104.749117]"
19465,80108,FCC/DC/CCC,"[39.472306, -104.879981]"
19469,80465,Preschool Facility,"[39.630492, -105.151477]"
19658,80231,FCC/DC/CCC,"[39.656847, -104.875323]"
19696,81401,FCC/DC/CCC,"[38.491195000000005, -107.79235200000001]"
19714,81001,FCC/DC/CCC,"[38.266927, -104.596795]"
19718,80920,School-Age Facility,"[38.977540000000005, -104.775865]"
19731,81423,FCC/DC/CCC,"[38.132047, -108.29571000000001]"
19741,81005,School-Age Facility,"[38.255204, -104.67059499999999]"
19749,80002,Preschool Facility,"[39.798596999999994, -105.08574899999999]"
19861,81501,FCC/DC/CCC,"[39.084204, -108.530133]"
20022,80525,Infant/Toddler Facility,"[40.54741, -105.039671]"
20222,80235,FCC/DC/CCC,"[39.642448, -105.112749]"
20343,80526,FCC/DC/CCC,"[40.546848, -105.084581]"
20385,80130,FCC/DC/CCC,"[39.52985, -104.92472099999999]"
20413,80112,FCC/DC/CCC,"[39.586166, -104.89446000000001]"
20426,80221,Infant/Toddler Facility,"[39.839964, -105.020482]"
20657,81152,FCC/DC/CCC,"[37.208376, -105.424264]"
20660,80211,FCC/DC/CCC,"[39.766242, -105.006993]"
20690,80016,FCC/DC/CCC,"[39.609, -104.8122]"
20721,81211,FCC/DC/CCC,"[38.8342, -106.12410600000001]"
20740,80923,FCC/DC/CCC,"[38.924248, -104.69928]"
20983,80525,Infant/Toddler Facility,"[40.527756, -105.056192]"
20988,80226,FCC/DC/CCC,"[39.697009, -105.10319299999999]"
20992,80634,FCC/DC/CCC,"[40.433846, -104.745329]"
21205,80221,FCC/DC/CCC,"[39.791548, -105.009307]"
21334,80909,Infant/Toddler Facility,"[38.864938, -104.794608]"
21464,80223,FCC/DC/CCC,"[39.719676, -104.990075]"
21616,81601,FCC/DC/CCC,"[39.510187, -107.31570900000001]"
21617,80214,FCC/DC/CCC,"[39.752643, -105.06058]"
21987,80526,Infant/Toddler Facility,"[40.52947, -105.109381]"
22097,80226,FCC/DC/CCC,"[39.718758, -105.09021200000001]"
22295,80905,FCC/DC/CCC,"[38.800062, -104.807538]"
22372,81147,FCC/DC/CCC,"[37.259145000000004, -107.016251]"
22432,80234,FCC/DC/CCC,"[39.890623, -104.99333100000001]"
22934,81047,FCC/DC/CCC,"[38.051915, -102.12153599999999]"
22978,80207,FCC/DC/CCC,"[39.758525, -104.92025500000001]"
23013,80910,FCC/DC/CCC,"[38.795234, -104.76738399999999]"
23024,80634,FCC/DC/CCC,"[40.429918, -104.726745]"
23034,80537,FCC/DC/CCC,"[40.384964000000004, -105.108673]"
23035,80513,Preschool Facility,"[40.30788, -105.087228]"
23036,80538,FCC/DC/CCC,"[40.44317, -105.080018]"
23095,80916,FCC/DC/CCC,"[38.785483, -104.75061600000001]"
23115,80403,FCC/DC/CCC,"[39.807241999999995, -105.188236]"
23156,81050,FCC/DC/CCC,"[38.035294, -103.520606]"
23455,80126,FCC/DC/CCC,"[39.548165999999995, -104.959395]"
23539,80916,FCC/DC/CCC,"[38.792697, -104.749938]"
23587,81401,FCC/DC/CCC,"[38.491335, -107.85366299999998]"
23598,80920,Preschool Facility,"[38.941369, -104.777808]"
23600,80126,School-Age Facility,"[39.543507, -104.937519]"
23617,80602,FCC/DC/CCC,"[39.921769, -104.91851399999999]"
23769,80020,Infant/Toddler Facility,"[39.921597999999996, -105.04862800000001]"
23782,81004,Infant/Toddler Facility,"[38.235495, -104.624914]"
23841,80205,FCC/DC/CCC,"[39.762508000000004, -104.95648700000001]"
24270,80403,Infant/Toddler Facility,"[39.803561, -105.212507]"
24382,80014,FCC/DC/CCC,"[39.662811, -104.860964]"
24413,81503,FCC/DC/CCC,"[39.051765, -108.535141]"
24445,81647,FCC/DC/CCC,"[39.589859999999994, -107.551677]"
24597,80104,FCC/DC/CCC,"[39.368588, -104.85336600000001]"
24660,80020,FCC/DC/CCC,"[39.902194, -105.06065100000001]"
24663,80634,FCC/DC/CCC,"[40.402215999999996, -104.79592099999999]"
24670,80126,FCC/DC/CCC,"[39.528797999999995, -104.94278100000001]"
24708,81005,FCC/DC/CCC,"[38.226433, -104.661394]"
25160,81428,FCC/DC/CCC,"[38.81527, -107.640667]"
25283,80027,School-Age Facility,"[39.974951000000004, -105.157471]"
25330,80033,FCC/DC/CCC,"[39.77879, -105.11393400000001]"
25433,80537,School-Age Facility,"[40.39458, -105.066872]"
25444,80241,FCC/DC/CCC,"[39.927915999999996, -104.937863]"
25450,81007,FCC/DC/CCC,"[38.313258000000005, -104.731564]"
25465,80228,FCC/DC/CCC,"[39.725219, -105.149252]"
25517,80481,School-Age Facility,"[40.106639, -105.48961899999999]"
25676,80205,FCC/DC/CCC,"[39.756201000000004, -104.970005]"
25701,81144,FCC/DC/CCC,"[37.581994, -106.13363100000001]"
25900,80911,FCC/DC/CCC,"[38.767092, -104.72670600000001]"
25958,80127,FCC/DC/CCC,"[39.611909000000004, -105.14579199999999]"
25961,80129,FCC/DC/CCC,"[39.55444, -104.99128200000001]"
25964,80911,School-Age Facility,"[38.754435, -104.744654]"
26080,81050,FCC/DC/CCC,"[37.968459, -103.546488]"
26087,80104,FCC/DC/CCC,"[39.382723999999996, -104.84472099999999]"
26129,80112,School-Age Facility,"[39.562160999999996, -104.86454199999999]"
26136,80204,School-Age Facility,"[39.741712, -104.993691]"
26431,80205,FCC/DC/CCC,"[39.759352, -104.982111]"
26432,81623,FCC/DC/CCC,"[39.399944, -107.20673700000002]"
26446,80304,Preschool Facility,"[40.031902, -105.26933100000001]"
26459,80538,FCC/DC/CCC,"[40.412679, -105.059895]"
26628,80807,FCC/DC/CCC,"[39.303059000000005, -102.279948]"
26632,80013,FCC/DC/CCC,"[39.66624, -104.76855400000001]"
26969,81144,FCC/DC/CCC,"[37.571515999999995, -106.14804199999999]"
26970,80027,FCC/DC/CCC,"[39.91536, -105.16149399999999]"
27014,80123,FCC/DC/CCC,"[39.607960999999996, -105.03694499999999]"
27230,80104,School-Age Facility,"[39.402675, -104.85732]"
27326,80124,School-Age Facility,"[39.528418, -104.912423]"
27340,80016,FCC/DC/CCC,"[39.605866, -104.746572]"
27354,80219,FCC/DC/CCC,"[39.700936, -105.032202]"
27428,80241,School-Age Facility,"[39.936816, -104.932272]"
