PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
1547796,80503,FCC/DC/CCC,"[40.142208000000004, -105.13590400000001]"
1547828,80020,Preschool Facility,"[39.930238, -105.059673]"
1547892,80138,School-Age Facility,"[39.515432000000004, -104.740486]"
1547918,80831,Preschool Facility,"[38.926682, -104.60276800000001]"
1547919,80915,Preschool Facility,"[38.856158, -104.694859]"
1547921,80910,FCC/DC/CCC,"[38.818131, -104.765888]"
1548010,80911,FCC/DC/CCC,"[38.764811, -104.74746999999999]"
1548023,80904,FCC/DC/CCC,"[38.843066, -104.864377]"
1548024,80831,FCC/DC/CCC,"[38.9584, -104.61433199999999]"
1548031,80465,FCC/DC/CCC,"[39.653979, -105.167529]"
1548049,80915,FCC/DC/CCC,"[38.852543, -104.74673299999999]"
1548059,80919,FCC/DC/CCC,"[38.922631, -104.86469699999999]"
1548063,81039,FCC/DC/CCC,"[38.130697, -104.02376]"
1548076,80602,School-Age Facility,"[39.934193, -104.91131100000001]"
1548083,80020,School-Age Facility,"[39.921492, -105.07713799999999]"
1548093,80831,FCC/DC/CCC,"[38.938461, -104.608237]"
1548095,80020,FCC/DC/CCC,"[39.91207, -105.056027]"
1548097,80634,FCC/DC/CCC,"[40.4279, -104.7231]"
1548113,80228,School-Age Facility,"[39.699139, -105.13158600000001]"
1548141,80108,FCC/DC/CCC,"[39.418515, -104.881243]"
1548161,80002,FCC/DC/CCC,"[39.797740999999995, -105.10374499999999]"
1548181,80004,School-Age Facility,"[39.810159999999996, -105.103656]"
1548182,80002,School-Age Facility,"[39.798596999999994, -105.08574899999999]"
1548212,80211,School-Age Facility,"[39.758748, -105.01850900000001]"
1548213,80238,School-Age Facility,"[39.748546000000005, -104.88296299999999]"
1548221,81401,FCC/DC/CCC,"[38.476371, -107.861342]"
1548234,80634,FCC/DC/CCC,"[40.418591, -104.842636]"
1548235,80211,School-Age Facility,"[39.754234000000004, -105.033873]"
1548240,81005,FCC/DC/CCC,"[38.257637, -104.666484]"
1548241,81524,Preschool Facility,"[39.203478999999994, -108.81196200000001]"
1548253,80241,FCC/DC/CCC,"[39.914311, -104.92541100000001]"
1548306,80735,FCC/DC/CCC,"[39.704341, -102.29440699999999]"
1548315,80239,FCC/DC/CCC,"[39.797881, -104.79819599999999]"
1548318,80127,FCC/DC/CCC,"[39.616782, -105.137599]"
1548329,80214,FCC/DC/CCC,"[39.752736, -105.05593999999999]"
1548336,80016,FCC/DC/CCC,"[39.594684, -104.70280699999999]"
1548462,80015,FCC/DC/CCC,"[39.613375, -104.727144]"
1548466,80817,School-Age Facility,"[38.689951, -104.6795]"
1548483,80124,School-Age Facility,"[39.538373, -104.88008300000001]"
1548484,80124,Preschool Facility,"[39.538373, -104.88008300000001]"
1548488,80134,School-Age Facility,"[39.5439, -104.803668]"
1548532,80207,FCC/DC/CCC,"[39.755259, -104.91484399999999]"
1548552,81303,FCC/DC/CCC,"[37.225977, -107.79471799999999]"
1548615,80241,School-Age Facility,"[39.921147999999995, -104.94147]"
1548631,80022,Infant/Toddler Facility,"[39.890637, -104.839334]"
1548711,80015,FCC/DC/CCC,"[39.623632, -104.721017]"
1548727,80549,School-Age Facility,"[40.686668, -105.00275]"
1548780,80923,School-Age Facility,"[38.935695, -104.732191]"
1548816,81504,FCC/DC/CCC,"[39.069293, -108.46899599999999]"
1548825,80911,FCC/DC/CCC,"[38.726446, -104.688209]"
1548827,80916,School-Age Facility,"[38.800753, -104.752263]"
1548829,80215,School-Age Facility,"[39.751778, -105.09387199999999]"
1548840,80759,FCC/DC/CCC,"[40.132987, -102.731561]"
1548842,80924,School-Age Facility,"[38.974056, -104.73455]"
