,ZIP,Age_Group,CLEANED_CAPA_GAGR,GEO.id2,CLEANED_POP_GAGR,comparison
4,80002,0-2,0.08613785104473792,80002.0,0.022747412579787518,0.0633904384649504
6,80003,0-2,-0.015635358712683955,80003.0,0.022806850363936926,-0.03844220907662088
8,80004,0-2,-0.015017917981743678,80004.0,0.022882645577732896,-0.037900563559476574
10,80005,0-2,-0.023978251335895373,80005.0,0.022636611880474833,-0.046614863216370206
12,80007,0-2,0.30781593263777074,80007.0,0.022895786223447345,0.2849201464143234
14,80010,0-2,0.11360187702716162,80010.0,-0.017091481912188566,0.1306933589393502
16,80011,0-2,-0.03941040874786261,80011.0,-0.01715666932199822,-0.022253739425864394
18,80012,0-2,0.003902453853159349,80012.0,-0.01711067328440863,0.021013127137567977
20,80013,0-2,-0.0119267943144018,80013.0,-0.017070955588874837,0.005144161274473036
22,80014,0-2,0.11627084798475584,80014.0,-0.01702045056888024,0.13329129855363608
24,80015,0-2,0.013703023071623077,80015.0,-0.017190884403179063,0.03089390747480214
26,80016,0-2,0.04405529450119938,80016.0,-0.017267114433407227,0.06132240893460661
28,80017,0-2,-0.10080115738588802,80017.0,-0.017242671962215406,-0.08355848542367261
30,80018,0-2,-0.048506539263015847,80018.0,-0.017042301432264484,-0.03146423783075136
32,80019,0-2,0.0425720702853738,80019.0,0.0,0.0425720702853738
34,80020,0-2,-0.05520919599611884,80020.0,-0.008903905696302172,-0.04630529029981667
36,80021,0-2,0.006006060007137437,80021.0,0.022708665434133746,-0.01670260542699631
38,80022,0-2,0.06684155491542776,80022.0,0.0003503240604927349,0.06649123085493502
40,80023,0-2,-0.013129672409662119,80023.0,-0.009230966782754257,-0.0038987056269078613
42,80026,0-2,0.07578979776221084,80026.0,-0.031721129353304844,0.10751092711551569
44,80027,0-2,0.01186593926522339,80027.0,-0.0318807398048605,0.043746679070083894
46,80030,0-2,0.012547542218401375,80030.0,0.0,0.012547542218401375
48,80031,0-2,-0.015288371103279408,80031.0,0.0003498338396328293,-0.015638204942912237
50,80033,0-2,0.047134770729238884,80033.0,0.022619985129827214,0.02451478559941167
52,80045,0-2,0.0,80045.0,0.0,0.0
56,80102,0-2,0.0,80102.0,0.0,0.0
58,80103,0-2,0.0,80103.0,-0.016001032391817827,0.016001032391817827
60,80104,0-2,-0.1459703736478809,80104.0,0.008319610917624232,-0.15428998456550513
64,80107,0-2,-0.0794253821016766,80107.0,0.1633113999156257,-0.2427367820173023
66,80108,0-2,0.09687054842401532,80108.0,0.008554475764295244,0.08831607265972008
68,80109,0-2,0.08505779908280808,80109.0,0.008274660403274847,0.07678313867953324
70,80110,0-2,0.05981401275261233,80110.0,-0.01731232977703545,0.07712634252964778
72,80111,0-2,0.005396008066613778,80111.0,-0.017337799648322716,0.022733807714936494
74,80112,0-2,-0.02345809858816983,80112.0,-0.017281883598874725,-0.0061762149892951035
76,80113,0-2,-0.06609398164064739,80113.0,-0.01733026380856717,-0.04876371783208022
78,80116,0-2,0.0,80116.0,0.006006060007137437,-0.006006060007137437
80,80117,0-2,0.15470053837925146,80117.0,0.16069902309867667,-0.005998484719425212
83,80120,0-2,0.007371583770438672,80120.0,-0.01701769180583812,0.024389275576276792
85,80121,0-2,0.057924996402507256,80121.0,-0.016897614780823966,0.07482261118333122
87,80122,0-2,-0.02817468419244995,80122.0,-0.01725142146545433,-0.01092326272699562
89,80123,0-2,-0.0022489988309902786,80123.0,0.02272620119098634,-0.024975200021976618
91,80124,0-2,0.00552272444091928,80124.0,0.008803691240177214,-0.003280966799257934
